Complexity,Loss,Equation
1,0.013373252,"x26"
3,0.013257044,"x26 * 0.9767753"
5,0.011445412,"x26 - (x19 * 0.095326364)"
7,0.010932651,"(x22 * -0.18217231) - (x26 * -1.1244675)"
9,0.010203663,"((0.037760142 / x2) * (0.92788774 - x25)) + x26"
11,0.0070445146,"x26 + ((((0.13613304 / x2) - x26) * 0.06726263) / x2)"
13,0.0060727317,"((0.010788174 / x2) * (((x2 / x2) - x26) / x2)) + x26"
15,0.006001178,"x26 + (((((x2 / x2) - x26) * (0.011015051 / x2)) / x2) + -0.0086486265)"
17,0.004253017,"(((x22 - -0.55126804) - (x26 * 6.732726)) + (((x26 * 0.57656425) - 0.5555637) / x2)) * -0.18403825"
21,0.003447523,"((((-0.8562192 / x2) + (x22 - (-0.92972153 - x8))) * ((x26 * -1.4783641) - -1.4222839)) - (x26 * 11.662698)) * -0.089473255"
23,0.0031014595,"((((x26 * (x2 - 1.2713352)) - -1.1190635) * (x8 + (x21 + ((-0.7416493 / x2) - -0.7505201)))) - (x26 * 8.246131)) * -0.12496202"
25,0.0030385493,"(x8 + ((x10 + (((x26 * (x2 - 1.222793)) - -1.0677935) * ((-0.7580893 / x2) + (x21 - -0.76281285)))) - (x26 * 8.185619))) * -0.12818581"
27,0.003037877,"x10 + ((((((((x2 - 1.2103603) * x26) - -1.0616046) * ((x21 + (-0.7711402 / x2)) - -0.73489505)) + x8) - (x26 * 8.192392)) * -0.12825328) + -0.004807839)"
29,0.0030376767,"(((((x26 * (x2 - 1.1879672)) + 0.008107579) - -1.0745218) * (((x26 * -0.01969099) + (((-0.76301706 / x2) - -0.78292114) + x8)) + x19)) - (x26 * 8.190539)) * -0.122115076"
