Complexity,Loss,Equation
1,0.459584,"0.11030522"
3,0.39918116,"x12 * -0.0065988475"
5,0.35384405,"(x25 - x12) * 0.0065539246"
7,0.34037542,"((x25 - x12) - x16) * 0.0051220665"
9,0.31684107,"((x14 - x15) - (x12 - x25)) * 0.006763662"
11,0.30616295,"((x14 - x15) - (x12 - (x25 * x2))) * 0.006959018"
13,0.29581043,"(x15 - ((x14 + (3.6446977 / x2)) - (x12 - x25))) * -0.006481909"
15,0.28739676,"(x21 - (x15 - (((5.486864 / x2) + x14) - (x12 - x25)))) * 0.005778656"
17,0.28646094,"(((x15 - (5.342178 / x2)) - ((x21 + x25) + x8)) + (x12 - x14)) * -0.0059071635"
19,0.27293408,"(x2 - -1.1551869) * ((x21 - (x15 - (((6.5525823 / x2) + x14) - (x12 - x25)))) * 0.0037450339)"
21,0.26233715,"((((x12 - x14) + x15) - (4.422731 / x2)) - ((x2 - -0.4567308) * (x25 + (x21 + x8)))) * -0.0061131646"
23,0.2583502,"((x8 * 5.693069) - ((x15 - ((x14 - x12) + (5.3900347 / x2))) - ((x2 - -0.57090384) * (x21 + x25)))) * 0.0063293506"
25,0.25330234,"0.006281943 * ((x8 * 5.84503) - ((x15 - ((x14 - x12) + (5.302203 / x2))) - ((x2 - -0.54547054) * ((x25 + x21) - 10.974827))))"
27,0.25276116,"((x8 * 3.3643775) - ((x15 - ((x14 + (3.5806744 / x2)) - x12)) - ((x2 - -0.48530132) * (x21 + ((x25 + x8) - 4.864031))))) * 0.0066286568"
29,0.25019068,"(((x8 * 4.0172324) - ((x15 - ((3.2564893 / x2) + (x14 - x12))) - (((x8 + (x25 - 21.223097)) + x21) * (x2 - -0.5667731)))) * 0.006347495) - -0.16676523"
