Complexity,Loss,Equation
1,0.013652299,"x26"
3,0.01352902,"x26 + 0.01110307"
5,0.011714143,"(x19 * -0.0938436) + x26"
7,0.011216947,"(-0.09025992 * (x8 + x19)) + x26"
9,0.0074184104,"x26 + (0.0050935065 / (x8 + (x2 + -0.10727842)))"
11,0.007256257,"(x26 + (0.0074348897 / ((-0.10465513 + x8) + x2))) * 0.9670273"
13,0.006142644,"(((x26 - 1.3364294) / (x2 + x8)) * -0.088492274) + (x26 + -0.11061474)"
15,0.0050568357,"(((x17 + 1.0032265) + ((x26 - 0.9936948) / x2)) * -0.11516223) + (x26 * 1.1387621)"
17,0.0041171787,"(((((x26 - 0.98001295) / x2) + (x8 + x19)) - (x26 - x2)) * -0.11191531) + x26"
19,0.0029458576,"((((x26 - 1.0337753) / x2) + (x2 * (x17 - ((x8 / -0.32628295) - x2)))) * -0.10570035) + x26"
21,0.0029278707,"((((x2 * (x17 - ((x8 / -0.32698965) - x2))) + ((x26 - 1.0125284) / x2)) * -0.106954336) - -0.0061557963) + x26"
23,0.002831477,"(x26 + ((((x2 * (x17 - ((x8 / -0.37333497) - x2))) + ((x26 - 0.9431117) / x2)) + -0.16083504) * -0.110973984)) * 1.0414518"
25,0.0028133101,"(x26 * 1.0331756) + (((((x26 - 0.93954146) / x2) + (x2 * (0.14193356 - ((x8 / -0.3606604) - (x17 + x2))))) + -0.28979126) * -0.11440482)"
27,0.0028115178,"(((((x26 - 0.93659806) / x2) + ((0.16367711 - ((x8 / -0.36088577) - (x17 + x2))) * x2)) + -0.28932354) * -0.11447406) + ((0.003221047 + x26) * 1.0333396)"
29,0.002811131,"(((((x26 - 0.93477434) / x2) + ((0.16697058 - ((x8 / -0.35787076) - ((x17 + x2) - x0))) * x2)) + -0.28940365) * -0.11442369) + ((x26 + 0.0039407797) * 1.0331932)"
