Complexity,Loss,Equation
1,0.4563307,"0.110495955"
3,0.39724103,"x12 * -0.0066005453"
5,0.3526686,"(x25 - x12) * 0.0065527144"
7,0.33773014,"((x12 + x16) - x25) * -0.0057864417"
9,0.3163119,"((x12 - (x25 - x15)) - x14) * -0.00675564"
11,0.31014925,"((x12 - ((x25 - x15) + x14)) * -0.0066513643) - -0.07885059"
13,0.30367213,"(((x14 + x25) - x15) / (111.601845 - x24)) + (x12 * -0.006843461)"
15,0.29322883,"(x12 * -0.0067910873) + ((x25 + ((x14 + x26) - x15)) / (136.42844 - x25))"
17,0.28019208,"(x12 * -0.006810843) + ((((x14 + x26) - x15) + (x25 * x2)) / (120.67132 - x26))"
19,0.27428713,"((x12 - 12.692279) * -0.0062864707) + (((x14 + (x26 - x15)) + (x25 * x2)) / (120.787506 - x26))"
21,0.27321616,"((x12 * -0.0063126995) - -0.08390348) + ((x26 + (x14 + ((x25 * x2) - x15))) / (121.66257 - (x26 - x8)))"
23,0.2613671,"((x26 + (((x25 * x2) + x14) - x15)) / (125.12136 - x26)) + (((x12 + (x2 * 26.400087)) * -0.005985995) - -0.20452708)"
27,0.26085338,"((((((x26 + x21) * x2) - (x2 - x25)) - x15) - (x14 / -1.0433402)) / (124.96645 - (x25 * 1.3109591))) + ((x12 * -0.0060760207) + 0.10377392)"
29,0.2586137,"(x12 * -0.006078737) + ((((((x2 * x21) + (x26 - (x2 - x25))) - x15) - (x14 / -1.06807)) / ((113.66252 - x25) - (x26 * 0.4977431))) + 0.10018302)"
