Complexity,Loss,Equation
1,0.013146689,"x26"
3,0.013077258,"x26 * 0.98093617"
5,0.011945445,"x26 - (x17 * 0.07869984)"
7,0.011594657,"x26 - ((x8 + x19) * 0.07172805)"
9,0.010724822,"x26 - (((x2 + x19) * 0.13532227) - 0.1266914)"
11,0.00915308,"(((x2 + x8) * -0.34534377) - -0.3632496) + (x26 * 0.832603)"
13,0.008699049,"((x2 + -0.86035085) * ((x2 - 1.109378) * (0.99488854 - x26))) + x26"
15,0.006213378,"x26 + (((0.99018073 - x26) * ((x8 + x2) - 1.2168752)) * (x2 + -1.0621146))"
17,0.0058653164,"((((1.0557964 - x26) * (x2 + -1.094668)) * ((x8 + x2) - 1.2081833)) + x26) * 0.944091"
19,0.00575286,"(((x8 + (x2 - 1.2055997)) * ((1.0940166 - x26) * ((x2 + -1.1276242) / 1.1778176))) + x26) * 0.9389222"
21,0.0055379705,"((x26 + ((x2 + -1.1848838) * (((1.153676 - x26) * ((x2 + x8) - 1.2696848)) / 1.2933385))) * 0.9208781) + -0.024119407"
23,0.004794919,"x26 + ((((x2 + -1.2283616) * ((x1 - (x26 * x26)) - -1.0446663)) * -0.8755324) * (((-0.9325108 - x16) * x2) - -0.8780511))"
25,0.0045868424,"(x26 + ((((-0.7290846 - x8) * x2) - -0.74742824) * ((x2 + -1.3936471) * ((((x7 - x26) * x26) - -1.1568565) / -1.0430329)))) * 0.92073387"
