Complexity,Loss,Equation
1,0.016012296,"x26"
3,0.015843317,"x26 * 0.97224426"
5,0.013826502,"x26 + (x19 * -0.09943654)"
7,0.013301761,"x26 - ((x8 + x19) * 0.0888686)"
9,0.012144146,"x26 - (((x2 + x19) / 6.5781217) + -0.1430518)"
11,0.010316481,"(x26 * 0.8254737) - (((x2 + x8) * 0.37821388) + -0.40453878)"
13,0.009726809,"x26 - ((x2 + -1.0492582) * ((-0.60733354 * x26) - (x2 - 0.7711046)))"
15,0.007508247,"x26 - (((x8 - 0.66) * (x2 + -1.1898062)) * ((x2 + x26) - 1.2038972))"
17,0.0071560903,"x26 - (((x8 - (1.0890573 - x2)) * (x2 + -1.0149051)) * ((x2 + x26) - 1.1438059))"
19,0.006249689,"x26 - (((-1.8196642 - (x19 * -0.5053328)) + (x8 + (x2 * 1.7092024))) * ((x26 * -0.28265667) + 0.30813694))"
21,0.0050510205,"x26 - (((x8 + -1.8628502) + (x2 * (1.814157 - (x19 * -0.5070391)))) * ((x26 * (x26 * -0.40832075)) + 0.4361195))"
23,0.0033408885,"(x26 * 0.7857189) - (((((x8 - (x12 * -0.2814679)) + 1.3197739) * x2) + -1.3373275) * ((x26 * (x26 * -0.4783652)) + 0.72950447))"
25,0.0032228695,"((x26 * 0.7712744) - ((((x26 * x26) * -0.443116) + 0.72304374) * ((x2 * ((x8 + 1.3496451) - (x12 * -0.2885771))) + -1.4591881))) + -0.061804384"
27,0.0023980907,"((x26 * 0.6919525) + 0.23053618) - (((x2 * ((x8 + 1.4556059) - (x12 * -0.29828063))) + -1.1458019) * ((x26 * ((x26 * -0.35205472) + -0.25178)) + 0.7043732))"
29,0.0023926497,"((x26 * 0.6940354) + (0.23090844 - (((x2 * ((x8 + 1.4393342) - (x12 * -0.290048))) + -1.1290457) * ((((x26 * -0.35312137) + -0.25140837) * x26) + 0.7027836)))) - x11"
