Complexity,Loss,Equation
1,0.027790608,"x26"
3,0.02770557,"x26 + 0.009221126"
5,0.023464153,"x26 + (0.028480157 / x2)"
7,0.020033728,"x26 + (0.028480157 / (x2 + x8))"
9,0.016968027,"x26 - (((x26 * 0.06250551) + -0.06283298) / x2)"
11,0.010974163,"x26 - ((((x26 + -1.6261564) / x2) - -1.7504481) * 0.06426721)"
13,0.0077315234,"x26 - ((((x26 + -1.6261564) / (x2 + x8)) - -1.7504481) * 0.06426721)"
15,0.0066681835,"x26 - (((((x26 + -1.8172544) / (x2 + x8)) - -1.933143) + x13) * 0.05753542)"
17,0.0065301703,"x26 - ((((x26 + -1.8713484) / (x2 + x8)) + ((x18 + x12) - -2.1323473)) * 0.055523776)"
19,0.006306619,"(x26 - ((((x8 + x13) + ((x26 + -1.7998447) / (x8 + x2))) - -1.9715009) * 0.0587698)) + x4"
