Complexity,Loss,Equation
1,0.029038928,"x26"
3,0.028463792,"x26 / 1.0498632"
5,0.026389128,"x26 + (x17 * -0.10328117)"
7,0.024869213,"(0.03997446 / (x8 + x2)) + x26"
9,0.021929568,"(x26 + (0.0058547007 / (x2 - 0.100766666))) / 1.1716732"
11,0.021838741,"((x26 + (0.0058547007 / (x2 - 0.100766666))) / 1.1716732) * 1.0174345"
13,0.014110952,"(0.1237793 / x2) + (x26 - (((x26 / x2) - -1.431671) * 0.10264329))"
15,0.011516881,"(0.1237793 / x2) + (x26 - ((((x26 / x2) + x13) - -1.431671) * 0.10264329))"
17,0.011516184,"(0.1238641 / (x2 + x7)) + (x26 - ((((x26 / x2) + x13) - -1.4322808) * 0.10244094))"
19,0.011007131,"(x26 + (0.12040684 / x2)) - (((x13 - ((x23 - x19) + -1.3910652)) + (x26 / x2)) * 0.1022725)"
