Complexity,Loss,Equation
1,0.024522875,"x26"
3,0.023823813,"x26 / 1.061228"
5,0.023041286,"x26 + (x17 * -0.08610456)"
7,0.022420889,"x26 - (0.09287553 * (x17 + x8))"
9,0.021552745,"x26 - (x26 * ((x26 * x26) * 0.086377524))"
11,0.021100568,"x26 - ((x26 * ((x26 * x26) - x8)) * 0.10112216)"
13,0.021083994,"(x26 - (x26 * (((x26 * x26) - x8) * 0.10112216))) * 1.0077899"
15,0.020583564,"(x26 - (x26 * ((x26 * x26) * 0.07976622))) - ((x26 - x18) * -0.06069756)"
17,0.020139286,"(x26 - ((x26 * ((x26 * x26) - x8)) * 0.10112216)) - ((x11 - x13) * -0.0692217)"
19,0.019989936,"((x26 - ((x26 * ((x26 * x26) - x8)) * 0.10112216)) - (x11 - (x16 * -0.0692217))) * 1.0137379"
