Complexity,Loss,Equation
1,0.014123028,"x26"
3,0.014008094,"x26 - -0.0107187545"
5,0.012477124,"x26 - (x18 * 0.08414341)"
7,0.011948722,"(x21 * -0.14854276) + (x26 * 1.0978658)"
9,0.011932759,"((x26 * 1.0978221) + (x21 * -0.14684041)) - -0.004072236"
11,0.011696799,"((1.1217849 - x26) * ((x23 - x26) / -4.5695386)) + x26"
13,0.01151282,"(((1.1217849 - x26) * ((x23 - x26) / -4.5695386)) + x26) * 0.9695405"
15,0.011411379,"x26 + ((x20 / -22.431305) + (((x24 - x26) * (1.2253838 - x26)) / -4.7807527))"
17,0.011329721,"x26 + ((x20 / -22.431305) + (((x24 - x26) * ((x21 + 1.0100857) - x26)) / -4.7807527))"
19,0.011194353,"x26 + (((x20 - 0.14882521) / -22.431305) + (((x24 - x26) * ((x21 + 1.0100857) - x26)) / -4.7807527))"
