Complexity,Loss,Equation
1,0.006676206,"x26"
3,0.0065392395,"x26 - -0.011702794"
5,0.005094885,"x26 + (x17 * -0.0880381)"
7,0.0043003834,"((x22 * -0.1796085) + x26) / 0.8511573"
9,0.004294089,"((x22 * -0.17808945) + (x26 + 0.0021805114)) / 0.8523002"
11,0.0034947873,"x26 + ((x19 + (x8 - (1.0607762 - x2))) * -0.13133118)"
13,0.0030578896,"(0.023370354 / (x18 + ((x26 * x26) - (0.089902095 - x2)))) + x26"
15,0.0018547383,"((0.10106534 / (x18 + ((x26 * x26) - (0.016824145 - x2)))) + x26) + -0.09743983"
17,0.0012610438,"x26 + (((x18 + (x2 - 0.9890195)) * -0.15030178) / ((x26 * x26) - (-0.015057901 - x2)))"
19,0.0008779571,"x26 + (((((x18 + x8) - 1.0801754) + x2) * -0.11699286) / ((x26 * x26) - (0.0027216629 - x2)))"
21,0.00073364744,"x26 + (((((x8 + x18) - 1.008075) + x2) * -0.16758983) / (x8 + ((x26 * x26) - (-0.034600113 - x2))))"
23,0.0006298148,"x26 + ((((x18 + x2) + x8) - 1.0102212) * (-0.20692955 / ((((x26 + x26) * x26) - (-0.06655276 - x2)) + x8)))"
25,0.0004816633,"((-0.2000731 / (x8 + (((x14 + (x26 * 1.7283192)) * x26) - (-0.067641385 - x2)))) * (x8 + ((x19 + x2) - 1.0188502))) + x26"
27,0.00044063307,"(((x8 + x19) + (x2 - 1.0208209)) * (-0.20424551 / ((x8 + (x26 * ((x26 * (x26 + 1.7585821)) + x12))) - (-0.068745226 - x2)))) + x26"
29,0.00043720577,"(x26 + (((((x8 + x19) + x2) - 1.024468) * -0.20047493) / ((x8 + (x26 * (x12 + ((x26 + 1.72825) * x26)))) - (-0.066389136 - x2)))) * 1.0045054"
