Complexity,Loss,Equation
1,0.0088611785,"x26"
3,0.008729272,"x26 + 0.011484537"
5,0.0072676595,"(x17 * -0.08635642) + x26"
7,0.0065726945,"(x26 - (x22 * 0.17078972)) * 1.1593376"
9,0.0065601557,"(x26 + (0.003106033 - (x22 * 0.16892758))) * 1.1578221"
11,0.0033475305,"(((x26 + -1.007656) * -0.010422807) / (x2 + -0.10239766)) + x26"
17,0.0032644072,"(-0.18057871 - (((0.021837624 / (x2 + -0.08699045)) * (x26 + -1.3004979)) + (x2 * -0.14678515))) + x26"
19,0.001975962,"(((x8 + (x16 + -3.7203953)) * -0.20464665) + x26) + (((x26 * -0.07691759) / x2) + (x2 * -0.7406427))"
21,0.0014123638,"(x26 + ((x26 * -0.08132476) / x2)) + ((((x17 + -4.5725765) + (x8 * 1.7578976)) * -0.18009593) + (x2 * -0.7894547))"
23,0.0009417743,"((x26 + (((x8 + x17) + ((x26 + -0.57207924) * (0.33628324 / (x2 + -0.060457688)))) * -0.16378409)) + 0.45957616) - (x2 * 0.4834262)"
25,0.00059132016,"((((x8 + x17) + x8) + ((x26 + -0.62903315) * (0.37118524 / (x2 + -0.06760839)))) * -0.126979) + ((x26 + 0.42007998) - (x2 * 0.4294307))"
27,0.00057918765,"(((((x8 + x17) + ((((x26 + -0.65174234) / (x2 + -0.06304706)) * 0.4055138) + x8)) + -0.39811936) * -0.12297909) + (x26 + 0.34342343)) - (x2 * 0.4060209)"
29,0.0005766844,"((x26 + ((((((x26 + -0.65222037) / (x2 + -0.06303684)) * 0.405358) + ((x17 + x8) + (x8 + -0.39825428))) * -0.12252341) + 0.34452954)) * 0.9956693) - (x2 * 0.405358)"
