Complexity,Loss,Equation
1,0.02839912,"x26"
3,0.02617891,"x26 / 1.1005275"
5,0.025884846,"x26 - (x17 * 0.09414767)"
7,0.023989445,"(x8 * -0.18778321) + (x26 * 0.89696866)"
9,0.021638628,"x26 / (((x26 * x26) * 0.16434324) + 0.9671096)"
11,0.017443977,"((x26 / 1.2953064) + 0.4427729) + ((x2 + x8) * -0.4179273)"
13,0.017377838,"((x2 * -0.5815044) + (((x8 * -0.5268616) + x26) + 0.61248875)) / 1.30733"
15,0.015965067,"(((((x8 + x2) + (x13 * 0.16523413)) * -0.5582409) + 0.58389324) + x26) / 1.3031594"
17,0.015643759,"((x26 + 0.51486737) / 1.3195724) + ((((x12 + -0.96556586) * 0.17702673) + (x2 + x8)) * -0.4457398)"
19,0.013792948,"((x2 * ((((x12 + -0.96716243) * 0.30542713) + x2) + x8)) * -0.47099912) + ((x26 + 0.5232632) / 1.4350317)"
21,0.013649179,"(x2 * (-0.34845757 * (((((x12 + x8) + -0.10501666) * 0.3757172) + x2) + x8))) + ((x26 + 0.50378853) / 1.3952037)"
25,0.01323918,"(((((x8 + (x17 + x8)) + (((x26 * x26) * x26) + x8)) * -0.08202688) + (x26 / 1.1043385)) + 0.3739223) + (x2 * -0.3583102)"
27,0.0127737485,"(x26 / 1.1416647) + (((x2 * -0.41077462) + ((((x26 * ((x26 * x26) * 0.65596765)) + ((x8 + x17) + x8)) + x8) * -0.100310706)) + 0.42671776)"
29,0.0120325405,"(((x26 * (x26 * x26)) + ((((x17 + x8) - x21) + (x8 + x8)) + x17)) * -0.07890035) + (((x26 + 0.44297194) + (x2 * -0.42948514)) / 1.1501248)"
