Complexity,Loss,Equation
1,0.018448234,"x26"
3,0.017522566,"x26 / 1.0660837"
5,0.015486812,"(x17 * -0.10481575) + x26"
7,0.014864767,"((x8 + x17) * -0.09367899) + x26"
9,0.014009104,"((x2 * -0.13316028) * (x19 + x8)) + x26"
11,0.012336616,"x26 - ((x15 + ((x26 * x26) * x26)) * 0.08716144)"
13,0.010890953,"x26 + ((((x26 * x26) * -0.35007718) - -0.2776896) * (x26 - x22))"
15,0.008699148,"((-0.24942109 - ((x26 * x26) * -0.28072536)) * ((x18 + -1.0193273) + x2)) + x26"
17,0.007442761,"((((x26 * x26) * 0.20288321) - 0.22693117) * (x2 + ((x18 + -2.0410273) + x2))) + x26"
19,0.007300564,"((((x2 + x2) + (x18 + -2.0346138)) * (-0.23210756 - (x26 * (x26 * -0.20058352)))) + x26) * 0.9738285"
21,0.006231593,"(x26 + ((x2 + -1.0197401) * -0.3310706)) + (((x8 + x16) - (x26 * (x26 * (x16 - x26)))) * -0.1717778)"
23,0.0060011297,"((((x8 + (x17 + x8)) - ((x16 - x26) * (x26 * x26))) * -0.1554216) + ((x2 + -1.0503912) * -0.3657804)) + x26"
25,0.005210542,"((x16 + ((x8 + x8) - ((x16 - x26) * (x26 * x26)))) * -0.1530404) + ((x26 * 0.9259222) + ((x2 + -1.0318238) * -0.44490442))"
29,0.0051606814,"(x26 * 0.90634316) + (((x2 + -1.039411) * -0.484563) + (((x8 + x16) - ((x26 * x26) * ((x16 + -0.33275735) - (x26 - (x8 * x26))))) * -0.2011338))"
