Complexity,Loss,Equation
1,0.0074583157,"x26"
3,0.007338951,"x26 + 0.010925826"
5,0.0057555446,"(x17 * -0.0877882) + x26"
7,0.005027036,"((x22 * -0.17227152) + x26) * 1.1554908"
9,0.0046367818,"(((x26 - x24) * x2) * 0.45475528) + x26"
11,0.0045169117,"(x26 * 0.9757496) + (((x26 - x24) * x2) * 0.47114918)"
13,0.004215416,"((x26 * ((x26 * (x24 - x26)) + 2.8406909)) - x24) / 1.8813324"
15,0.0042016883,"(((((x26 * (x26 - x24)) * -0.9208182) + 2.8160203) * x26) - x24) / 1.8588417"
17,0.004158887,"(((((x24 - x26) * ((x26 - -0.21825284) * 0.7986471)) + 2.8392272) * x26) - x24) / 1.8805658"
19,0.0041549914,"((x26 * (((-1.3751708 - x24) * (x26 * ((x26 - x24) * 0.60961246))) + 2.9727657)) - x24) / 2.01417"
21,0.0041474123,"(((((((x26 * x26) * (x26 - x24)) * 0.740413) * (-0.24745652 - x26)) + 2.975488) * x26) - x24) / 2.0198727"
23,0.004110932,"((x26 * ((((x26 * (x26 * x26)) * (x26 - x24)) * ((-1.4910953 - x24) * 0.55189854)) + 2.9801261)) - x24) / 2.0233324"
25,0.0041102744,"(((x26 * (((x26 * x26) * ((x26 * (-1.4909993 - x24)) * ((x26 - x24) * 0.5529012))) + 2.9859571)) - x24) / 2.0290625) - -0.0008685502"
27,0.0040910956,"(((((((x26 * x26) * 0.61215836) * ((-0.4135887 - (x26 * (x24 * x24))) - x26)) * (x26 - x24)) + 2.9720109) * x26) - x24) / 2.0188203"
29,0.004089079,"((x26 * ((((x26 - x24) * (x26 * (x26 * 0.63793147))) * (((-0.3418046 - (x26 * (x24 * x24))) * x26) - x26)) + 2.9697647)) - x24) / 2.0129704"
