Complexity,Loss,Equation
1,0.015279979,"x26"
3,0.015203353,"x26 * 0.9810369"
5,0.013263349,"x26 - (x18 * 0.09446466)"
7,0.010217046,"x26 + (0.0017150777 / (x2 + -0.10918002))"
9,0.007054883,"x26 + (-0.002679056 / (x8 + (x2 + -0.11599973)))"
11,0.006733274,"x26 + (0.011535626 / (x8 + (x8 + (x2 + -0.09956961))))"
13,0.0050619957,"x26 - (((x15 + 1.5020958) + ((x26 - 1.2614824) / x2)) * 0.092271574)"
15,0.003573114,"x26 - ((x2 + (x15 + ((x26 - 1.0200464) / (x2 + x8)))) * 0.11148836)"
17,0.0025618076,"(x26 * 1.108103) - (((((x26 - 0.9749178) / x2) + x2) + (x18 + x8)) * 0.12435938)"
19,0.0018230268,"x26 - (((x2 * ((x2 + (x8 * 2.7119749)) + x17)) + ((x26 - 1.0184451) / x2)) * 0.115536876)"
21,0.001802823,"(x26 * 1.015905) - ((((x26 - 0.99887246) / x2) + (((x2 + (x8 * 2.4914196)) + x16) * x2)) * 0.119823895)"
23,0.0017742976,"(x26 * 1.0217099) - ((((x26 - 0.9952606) / x2) + (((x2 + x17) + (x8 * (x6 + 2.4918137))) * x2)) * 0.12005263)"
25,0.001391145,"(x26 - ((((x8 + (x2 + (x8 + (x17 + 0.4269472)))) * (x2 * 1.5378245)) + ((x26 - 0.85077715) / x2)) * 0.11259317)) - -0.15909843"
27,0.0013771827,"((x26 - ((((x26 - 0.83883566) / x2) + ((x2 * 1.5194008) * (x8 + (((x8 + x17) + 0.42080078) + x2)))) * 0.113340296)) - -0.15823826) / 0.9884026"
