Complexity,Loss,Equation
1,0.024152296,"x26"
3,0.023738855,"x26 + 0.020334156"
5,0.021278119,"x26 + (0.01698587 / x2)"
7,0.00415937,"x26 - (0.00027092083 / (x8 + -0.00027097348))"
9,0.004052626,"x26 - (0.00045941432 / ((-0.000459636 + x13) - x8))"
11,0.0023630413,"x26 - ((0.00045941432 / (x8 + -0.000459636)) - (x17 * -0.0673632))"
13,0.001701576,"x26 - ((0.00045941432 / (-0.000459636 + x26)) - ((x17 + x8) * -0.0673632))"
15,0.0015707524,"x26 - ((0.00045941432 / (x26 + -0.000459636)) - (((x17 * x2) + x8) * -0.0673632))"
17,0.001281071,"(((x20 + ((x26 + -0.9444075) / (x8 + x2))) * -0.13063943) + -0.11038472) + (x26 * 1.1750144)"
19,0.0008348238,"x26 + (-0.12662287 * ((((-1.0320225 + x26) / (x2 + x8)) + (x19 * x2)) - (x26 - 1.139433)))"
21,0.00076096284,"x26 + ((((((x8 * 1.3148801) + x19) * x2) + ((x26 + -1.0299591) / x2)) - (x26 - 1.1349123)) * -0.12627155)"
23,0.00072578865,"((((x19 + (x8 * 1.2799557)) * x2) + ((((x26 + -1.0388913) / x2) - (x26 - 1.1705165)) * 0.925638)) * -0.13446747) + x26"
25,0.000599484,"(((x8 * 0.6117039) + ((x19 * x2) + (((x26 + -0.92135733) / (x2 + x8)) - (x26 - x2)))) * -0.12450596) + (x26 * 0.95698935)"
27,0.0005651938,"(((((x2 * x20) + (x8 * 0.68561053)) + (((x26 + -0.89379454) / (x8 + x2)) - (x26 - x2))) * -0.13175097) + (x26 + 0.010478666)) * 0.96064836"
29,0.0005289102,"(x26 * 0.9478266) + (((((((x8 - 0.42415267) * x8) + x2) * x19) - (x26 - x2)) + ((x26 + -0.8838173) / (x8 + (x8 + x2)))) * -0.12849952)"
