Complexity,Loss,Equation
1,0.024152296,"x26"
3,0.023738855,"x26 + 0.020334158"
5,0.021278119,"x26 + (0.016985845 / x2)"
7,0.0041579464,"(0.00020499813 / (0.00020499813 - x8)) + x26"
9,0.0040582293,"(0.00020692096 / (x8 + (x26 + 0.00020706128))) + x26"
11,0.0023483192,"(x26 + (x17 * -0.06625591)) + (0.0002047784 / (0.00020499813 - x8))"
13,0.001983704,"(0.0010528729 / (0.0010528729 - x26)) + (((-0.08133317 * x18) + x26) / 0.9648092)"
15,0.0017463145,"(0.0010528729 / (0.0010528729 - x26)) + (x26 + ((x8 * -0.08133317) - (x18 * 0.06892966)))"
17,0.0012372612,"(((((0.23086692 - (x20 + x8)) * (1.001056 - x26)) / x2) * 0.054265533) / x2) + x26"
19,0.0011211347,"(((0.22466432 - (x8 + x20)) / x2) * (((1.0070668 - x26) * 0.055702984) / x2)) + (x26 * 1.0187254)"
21,0.00081614737,"((x26 * 1.1133186) + ((1.0046728 - x26) * ((0.60138434 - x20) * ((x26 * 0.120442085) + (0.20684673 / x2))))) + -0.119922325"
23,0.00068961247,"(x26 * 1.1328062) + ((x11 + ((0.5653306 - x21) * (((1.0009916 - x26) * (0.22310154 + (x26 * 0.13150734))) / x2))) + -0.12855016)"
25,0.0006888317,"((x26 * 1.1316023) + -0.1284387) + (((x11 + (0.56668884 - x21)) * (((1.0004833 - x26) * ((x26 * 0.13265532) + 0.2232845)) / x2)) - x4)"
27,0.0006888131,"(((x26 * 1.1317543) + -0.12851737) + ((((x11 + 0.5676876) - (x21 + x6)) * (1.000429 - x26)) * (((x26 * 0.13228798) + 0.22299352) / x2))) - x4"
