Complexity,Loss,Equation
1,0.024152296,"x26"
3,0.023738855,"x26 + 0.02031926"
5,0.021278119,"x26 + (0.016985832 / x2)"
7,0.0041584023,"(0.0002457478 / (0.0002461388 - x8)) + x26"
9,0.0040512085,"(0.000499433 / (x8 + (0.000499433 - x13))) + x26"
11,0.0038289614,"(0.0002461388 / ((0.0002461388 + x8) - (x21 + x21))) + x26"
13,0.00236812,"(0.62908596 / (0.62908596 - (x8 / 7.068419e-5))) + ((x17 * -0.06603354) + x26)"
15,0.0016661204,"(x26 + (0.62908596 / (0.6297804 - (x8 / 7.068885e-5)))) + ((x8 + x18) * -0.06603355)"
17,0.0014613052,"(((x8 + x20) * -0.07849149) + ((0.08450963 / (0.087827265 - (x26 / 0.0036099167))) + x26)) / 0.9627768"
19,0.00081491884,"x26 + (((((x19 + 0.24685502) + x8) * -0.11426922) * x2) + (x2 / (0.11235353 - (x8 / 8.814746e-5))))"
21,0.000680893,"1.018257 * ((((x8 + (x20 + 0.20365404)) * x2) * -0.12441231) + ((0.14694776 / (0.14941806 - (x8 / 0.00050752994))) + x26))"
23,0.0006624765,"((1.5670196 / (((x8 / -0.00083926704) + 0.1302027) / 0.083809316)) + (x26 / 0.9742307)) + ((x2 * ((x21 + x8) + 0.17368542)) * -0.13097659)"
25,0.0006523323,"((x26 + (((x2 * ((x8 + 0.37719053) + x20)) * -0.12893587) + (1.3085237 / (((x8 / -0.0011928775) + 0.12462186) / 0.09280588)))) / 0.9909915) - -0.021903329"
27,0.0006488001,"(x2 * ((x21 + (x8 + 0.28547043)) * -0.13715132)) + (((x26 + (1.5662836 / (((x8 / -0.0017912695) + 0.10197505) / 0.06321635))) / 0.9798731) + (0.023820328 - 0.010712136))"
29,0.0006488,"(((x2 * ((x21 + x8) + 0.28547043)) * -0.13715132) + (((x26 + (1.5662836 / (((x8 / -0.0017912695) + 0.10197505) / 0.06321635))) / 0.9798731) + 0.023820328)) - (x3 + 0.010712136)"
