Complexity,Loss,Equation
1,0.01087077,"x26"
3,0.010756191,"x26 * 0.97803015"
5,0.0091991015,"x26 + (x19 * -0.08743286)"
7,0.008406489,"x26 - (0.08743959 * (x8 + x19))"
9,0.0075875414,"(((x8 + x19) * x2) * -0.12196671) + x26"
11,0.007220809,"x26 + (((x8 * -0.20847781) + (x19 * -0.10883258)) * x2)"
13,0.0071946923,"x26 + (x2 * ((x19 * -0.11728384) + ((x8 * x2) * -0.22218232)))"
15,0.0053141587,"x26 + (((1.0295547 - x26) * (-1.2303523 - ((x19 - 1.1629242) / x2))) * 0.09627805)"
17,0.0048227184,"(((-0.94695705 - x19) - (((0.9951835 - x26) / x2) * -0.9662372)) * 0.13285321) + (x26 / 0.85683566)"
19,0.0030377058,"(((1.0109771 - x26) * 0.117071755) * ((((x8 * -1.5497639) - x21) - (-1.1482829 / x2)) + -1.1631378)) + x26"
21,0.0024909223,"(((0.8702413 - x26) + x2) * ((((1.6946069 / x2) + ((x8 / -0.6071205) - x20)) * 0.07832834) + -0.12915055)) + x26"
23,0.0024894292,"((x2 + (0.86602587 - x26)) * ((0.0783494 * (((1.6902575 / x2) + (x8 / -0.6095173)) - x20)) + -0.12901759)) + (x26 / 1.0018533)"
25,0.0022430304,"x26 + (((x26 + 2.2468107) * (x2 + (0.8858399 - x26))) * (((((x8 / -0.57386434) + (1.5284941 / x2)) - x19) * 0.03662636) + -0.0541912))"
27,0.0021599205,"((-0.053368773 + (((x8 / -0.5380917) + ((1.5436028 / x2) - x19)) * 0.035265703)) * ((x26 + 2.2487347) * (x2 + (0.91399795 - x26)))) + (x26 / 1.0274624)"
29,0.0021522494,"((((x26 + 2.2466502) * (x2 + (0.90213937 - x26))) + x6) * ((((x8 / -0.5289366) + ((1.5661862 / x2) - x19)) * 0.035357337) + -0.054246064)) + (x26 / 1.0258573)"
