Complexity,Loss,Equation
1,0.009369323,"x26"
3,0.009227474,"x26 + 0.011899183"
5,0.0075490666,"(x17 * -0.08994908) + x26"
7,0.0068589044,"(x26 * 1.1574373) + (x22 * -0.20039898)"
9,0.006519998,"x26 + (((x2 + -0.9654049) + x18) * -0.13527744)"
11,0.005397281,"x26 + ((x8 + ((x19 + x2) + -1.0474436)) * -0.1393315)"
13,0.0049626497,"x26 - ((((x2 + -1.024195) * 1.565865) + (x8 + x19)) * 0.14999984)"
15,0.0028913305,"x26 + ((((x2 + -1.0656718) + x17) * (x2 + -1.1493278)) * (0.9821998 - x26))"
17,0.0012344619,"x26 + (((x19 + -1.0420144) + x2) * ((0.9740803 - (x26 * x26)) * (x2 + -1.24716)))"
19,0.0011481731,"x26 + (((1.0019736 - (x26 * x26)) * ((x2 + x18) + -1.0571412)) * ((x2 + -1.2774873) * 0.80888754))"
21,0.0010462808,"((((x2 + -1.0649441) + x18) * ((0.9868516 - (x26 * x26)) * (0.9669406 - x26))) * (x2 + -1.2373317)) + x26"
23,0.0009907278,"(((x2 + (x18 + -1.0620123)) * (((1.130881 - x26) / 1.2448132) * (1.0135205 - (x26 * x26)))) * (x2 + -1.2415562)) + x26"
25,0.0009705766,"((((1.0025876 - (x26 * x26)) * (x2 + (x18 + -1.0585675))) * ((0.9107531 - x26) - (x26 * -0.33941185))) * (x2 + -1.2493285)) + x26"
27,0.0009638957,"((1.0226346 - (x26 * x26)) * (((0.9343873 - x26) - ((x26 * -0.39483055) + 0.057909478)) * (((x2 + x18) + -1.062158) * (x2 + -1.2522987)))) + x26"
29,0.00096062414,"(((1.0252712 - (x26 * x26)) * (((0.94021446 - x26) - ((x26 * -0.39712295) + 0.052082025)) * (((x2 + x18) + -1.0589335) * (x2 + -1.2489249)))) + x26) * 0.9954846"
