Complexity,Loss,Equation
1,0.022856636,"x26"
3,0.021993538,"x26 / 1.065339"
5,0.020844437,"(x8 * -0.17117497) + x26"
7,0.019809471,"(x26 + (x8 * -0.19162287)) * 0.9327763"
9,0.019035855,"(x26 * ((x26 * x26) * -0.09250838)) + x26"
11,0.018740779,"((((x26 * x26) - 0.42006594) * -0.116280146) * x26) + x26"
13,0.017337194,"(((((x26 * x26) * x26) * x26) + x17) * -0.050061528) + x26"
15,0.017025352,"(((x18 + x17) + (((x26 * x26) * x26) * x26)) * -0.050061528) + x26"
17,0.016879134,"(((x19 + x17) + ((x26 * (x26 * x26)) * x26)) * -0.050061528) + (x26 * 1.0100973)"
19,0.01687785,"(((((x19 * 0.8120623) + x17) + (((x26 * x26) * x26) * x26)) * -0.050061528) + x26) * 1.0100973"
