Complexity,Loss,Equation
1,0.02766169,"x26"
3,0.027319923,"x26 / 1.0386459"
5,0.02515158,"x26 + (0.01905382 / x2)"
7,0.02329734,"(x26 + (0.029280752 / x2)) / 1.1051637"
9,0.018156921,"(((0.9912541 - x26) * 0.061062023) / x2) + x26"
11,0.01186781,"((((1.0072217 - x26) * 0.008681231) / x2) / x2) + x26"
13,0.01028541,"((1.510355 * (((1.0072217 - x26) * 0.008681231) / x2)) / x2) + x26"
15,0.009777992,"(((1.510355 - x13) * (((1.0072217 - x26) * 0.008681231) / x2)) / x2) + x26"
17,0.009668918,"(((1.510355 - x19) * (((1.0072217 - x26) * 0.008681231) / x2)) / x2) + (x26 - 0.017294716)"
19,0.009508942,"(((1.510355 + (x1 - x12)) * (((1.0072217 - x26) * (0.008681231 / x2)) / x2)) + x26) - 0.017294716"
