Complexity,Loss,Equation
1,0.025785629,"x26"
3,0.025388137,"x26 + 0.019940179"
5,0.023192165,"(0.016078735 / x2) + x26"
7,0.005615888,"(-0.0013141674 / (-0.0013155253 + x26)) + x26"
9,0.0055660135,"x26 - (-0.0005916968 / ((0.00060228526 - x26) - x21))"
11,0.0039217616,"(x17 * -0.07321789) + (x26 - (-0.0005474013 / (0.00054811506 - x26)))"
13,0.0033664347,"x26 + (((x18 + x8) * -0.06430578) - (-0.0005474013 / (0.00054811506 - x26)))"
15,0.0028141898,"x26 + (((x2 * (x20 + x8)) * -0.092762925) - (-0.00073328504 / (0.0007410108 - x26)))"
17,0.0023790754,"(((((x19 + 0.19288228) + x8) * -0.092762925) * x2) + x26) - (-0.00073328504 / (0.0007410108 - x26))"
23,0.0022388673,"x26 - ((-0.0018369216 / (((x26 + x26) + -0.0018616456) / -1.0096488)) + ((x2 * (((x19 + x8) * 0.10287204) + 0.019511571)) * 1.135137))"
27,0.0022203845,"x26 - (((((x19 + x8) * -0.10188894) - 0.019511526) * (-1.0096488 * (x2 * 1.08889))) + (-0.0018380373 / (((x20 * 1.3148092) + (-0.0018380373 + x26)) / -1.0096488)))"
29,0.0021627997,"x26 - (((-0.0018380373 / ((x26 + x26) + -0.0018380373)) / -1.0096488) + ((x2 * ((((x2 * 0.019511526) + ((x19 + x8) * 0.102872044)) * 1.135137) * 1.135137)) - x1))"
