Complexity,Loss,Equation
1,0.048425525,"x26"
3,0.04201463,"x26 * 0.850072"
5,0.041669328,"(x26 * 0.8509657) - -0.018574787"
7,0.03364256,"x26 * (0.88857496 - (x26 * -0.112893745))"
9,0.03058416,"(((-6.500149 - x26) * x26) + x8) * -0.13654841"
11,0.024819797,"(x26 + (((-0.91505265 - x8) * x2) + 0.96870786)) * 0.6147028"
13,0.024722533,"((x2 * -1.2342229) + (((x26 / 0.80725825) + 1.3129556) - x8)) * 0.5166235"
15,0.014990154,"((((x26 + -1.7993323) - x8) * ((x12 * 0.098417506) + 0.60786974)) * x2) + 1.1345886"
17,0.0087353205,"(((x26 + (-1.3305882 - x8)) * x2) * (((x26 + x12) * 0.10945607) + 0.82032853)) + 1.1267544"
19,0.008080122,"((x2 + -0.16198938) * (((x26 - x8) + -1.1641793) * (((x12 + x26) * 0.15027164) + 0.99678195))) + 1.0091141"
21,0.007915751,"(((x26 - x8) + -1.1761441) * ((x2 + -0.1821307) * (1.001518 + ((x12 * 0.16869634) + (x26 * 0.14014265))))) + 0.99920744"
23,0.0063869366,"(0.9344113 - (x23 * -0.11991136)) + (((x26 + (-1.1633323 - x8)) * (x2 + -0.13817567)) * (((x12 + x26) * 0.14596586) + 0.8982571))"
25,0.006126025,"((((0.877553 + (x12 * 0.1618996)) + (x26 * 0.12950592)) * (x2 + -0.14742771)) * ((-1.2055035 - x8) + x26)) + (0.93399364 - (x23 * -0.12969486))"
29,0.005362323,"((((((0.2319683 - (x25 * -0.09946376)) * x12) + 0.92657435) + (x26 * 0.15364805)) * ((x2 + -0.19032043) * (x26 + (-1.1769497 - x8)))) + 0.9094211) - (x23 * -0.13330236)"
