Complexity,Loss,Equation
1,0.017601535,"x26"
3,0.017320784,"x26 - -0.016758116"
5,0.015815297,"(x17 * -0.087042406) + x26"
7,0.013764012,"(0.032159112 / (x8 + x2)) + x26"
9,0.007052215,"x26 + (-0.009142158 / (x2 + (-0.12165147 - x26)))"
11,0.0068796473,"((-0.006179682 / ((x2 - x26) + -0.118371256)) + x26) + 0.007005171"
13,0.006656813,"(-0.009229045 / ((x26 + x8) + (x2 * (0.030225 - x2)))) + x26"
15,0.0051147123,"x26 + ((((x26 - 1.0045645) * ((x17 - 0.18766564) / x2)) * 0.06586326) / x2)"
17,0.0041182255,"(((x26 - 1.0118462) * (((x19 - (1.0641955 - x2)) / x2) + x8)) * 0.112575136) + x26"
19,0.0038208205,"(((x8 + ((x19 - (1.0661054 - x2)) / (x8 + x2))) * (x26 - 1.0173471)) * 0.117610306) + x26"
21,0.0036955131,"((((x26 - 1.0257488) * ((x19 - (1.0156888 - x2)) / x2)) + ((x18 - 1.5822684) * x8)) * 0.122153655) + x26"
23,0.0036304952,"((((x2 * x8) * (x18 - 1.5888916)) + ((x26 - 1.0012015) * ((x19 - (1.0081983 - x2)) / x2))) * 0.1282831) + x26"
25,0.0034021086,"(((x17 + (x8 - (1.034298 - x2))) * ((x26 - 0.99897265) / (x17 - ((x22 * (1.4497133 - x22)) - x2)))) * 0.1268943) + x26"
