Complexity,Loss,Equation
1,0.027136825,"x26"
3,0.026922207,"x26 + 0.01465238"
5,0.024534937,"(0.016064286 / x2) + x26"
7,0.007114451,"x26 + (0.0010138288 / (x26 + 0.0010138288))"
9,0.00700883,"(0.0010138295 / (x26 + 0.0010138678)) + (x26 * 0.98532873)"
11,0.0052835895,"x26 + ((x18 * -0.07458065) + (0.0015498665 / (x26 + 0.0015498665)))"
13,0.0049214843,"((0.11996127 / (x2 + ((x8 + x19) / x2))) + x26) - 0.14224227"
15,0.0041910447,"((0.31457892 / (((x2 + x8) * (x16 - -2.3891914)) + x26)) + x26) + -0.16253115"
17,0.0036630377,"(0.13056912 / (x26 + (x8 + x2))) + ((x26 - 0.161332) + ((x26 - x16) * 0.086658105))"
19,0.002838013,"x26 + ((0.1332822 / ((x2 + x26) + x8)) - (((x26 - (x2 * x19)) * -0.11909011) + 0.18120396))"
21,0.002663138,"(x26 + ((0.12758763 / ((x8 + x26) + x2)) - ((((x26 - x19) * x2) * -0.1285609) + 0.15066996))) * 1.0343016"
25,0.0026166043,"((0.118497565 / ((x8 + x26) + x2)) + (x26 + (3.2868354 / ((((x2 * (x8 + x16)) * x2) + 4.36584) + x2)))) - 0.802326"
27,0.002450919,"(13.856609 / (((x2 * x2) * (x8 + x16)) + (x2 + 9.481161))) + (((0.11996445 / (((x2 * x8) + x2) + x26)) + x26) - 1.518234)"
29,0.0021253715,"((7.957746 / ((x2 * (x2 + ((x15 + x8) * x2))) + 7.084798)) + (x26 - 1.1596849)) - (-0.11854744 / ((x2 + (x8 * (x26 - -2.0245593))) + x26))"
