Complexity,Loss,Equation
1,0.01587255,"x26"
3,0.015749598,"x26 / 1.022684"
5,0.014061378,"x26 + (x19 * -0.08533174)"
7,0.013402597,"((x22 * -0.15629564) + x26) * 1.1205642"
9,0.012179594,"(((x19 + x2) * -0.14459579) - -0.13434714) + x26"
11,0.010683525,"x26 + (((x8 + x2) - (1.0186125 - x21)) * -0.15567952)"
13,0.009690607,"(((x8 + x22) * -0.17860542) + x26) + (0.2914455 - (x2 * 0.2914455))"
15,0.0030521243,"1.1163384 - ((((x26 - x8) + (x12 * -0.330676)) + -1.6332594) * (x2 * -0.6647383))"
17,0.0028273035,"1.1064724 - ((x2 * -0.6743301) * ((x26 - x8) + (((x2 * -0.30140677) * x12) + -1.6036031)))"
19,0.0024172454,"(1.0758184 - (x13 * -0.23979017)) - (x2 * ((((x26 + -1.532137) - x8) * -0.6869374) + (x13 * 0.4474901)))"
21,0.0022964457,"(((x26 * 0.13077085) * x12) - (((((x26 + -1.5454022) - x8) * -0.68486905) + (x13 * 0.181763)) * x2)) + 1.0942613"
23,0.0019085273,"((x13 * x26) * (x17 * 0.20143)) + (1.0897194 - (x2 * (((x26 + (-1.689681 - x8)) * -0.6293053) + (x13 * 0.2541834))))"
25,0.0013382431,"((((x26 * ((x2 + x19) * x20)) * 0.15902507) - x2) * ((x13 * 0.20962265) + ((x26 + (-1.5054291 - x8)) * -0.68040407))) + 1.0439063"
29,0.0009550333,"(((((x16 + 0.6370022) * x26) * ((x16 + (x24 + 0.6200216)) * 0.17713912)) - ((x13 * 0.21580224) + ((x26 + (-1.6189915 - x8)) * -0.63147765))) * x2) + 1.0432653"
