Complexity,Loss,Equation
1,0.02714394,"x26"
3,0.02663226,"x26 - -0.022618888"
5,0.024158891,"(0.014065054 / x2) + x26"
7,0.0068189357,"(-0.00029233863 / (-0.0002926201 - x26)) + x26"
9,0.00681661,"(x26 - (-0.0002941877 / (x26 - -0.0002944611))) + 0.0003222099"
11,0.0054696416,"(x26 + (-0.0002941877 / (-0.0002944611 - x26))) - (x14 * 0.05681504)"
13,0.005245869,"x26 + ((x17 + (0.93240184 / (-0.06556903 - (x26 / 0.0037477724)))) * -0.070121005)"
15,0.0046508256,"(((0.9947526 / ((x26 / -0.0009306431) + -0.0667747)) + (x8 + x18)) * -0.0667747) + x26"
17,0.0041050753,"x26 + ((x2 * -0.09522806) * ((x19 + (1.6365893 / ((x26 / -0.0018209424) + -0.017932486))) + x8))"
19,0.0036140229,"(x2 * (-0.114123605 * (((x8 + 0.21567963) + x19) + (2.1817908 / ((x26 / -0.0008715977) + -0.027825754))))) + x26"
21,0.003593698,"(x26 + 0.016729048) + ((x2 * (x19 + ((x8 + (1.0507238 / ((x26 / -0.0010178317) + -0.016320711))) + 0.30570185))) * -0.13511036)"
23,0.0034519096,"(0.036539167 + (x2 * (-0.13096942 * ((1.0035568 / ((x26 / -0.0014976694) + -0.015470148)) + ((0.4811433 + x8) + (x19 + x1)))))) + x26"
27,0.0034442304,"((x2 * (((x8 + (((2.0435424 - x26) / ((x26 / -7.1304836e-5) + -0.039177522)) + ((x13 * -0.29025418) + x19))) * -0.16342497) + -0.04582116)) + x26) - -0.027765453"
29,0.003429475,"x26 + (((x2 * ((((x13 * -0.13160726) + (x8 + (((0.9951404 - x26) / ((x26 / -0.0004030479) + -0.01854179)) + x19))) * -0.15477031) + -0.078457125)) - -0.049950417) + x10)"
