Complexity,Loss,Equation
1,0.01693191,"x26"
3,0.016713958,"x26 - -0.014767744"
5,0.015311859,"x26 + (x17 * -0.08514091)"
7,0.014846367,"x26 + (x2 * (x19 * -0.109568514))"
9,0.011975126,"x26 - ((0.99903154 - x26) * (-0.04923796 / x2))"
11,0.0079451185,"(x26 - (((1.1801169 - x26) / x2) * -0.091709554)) - 0.10884301"
13,0.006909846,"x26 - ((0.9978927 - x26) * ((1.083376 - x2) * (-0.10977896 / x2)))"
15,0.0044979267,"x26 - ((0.9960395 - x26) * (((0.9686391 - (x17 + x2)) / x2) * -0.1188344))"
17,0.004155782,"x26 - (((1.0304973 - x26) * ((x2 - ((x26 + 1.2052451) - x19)) * 0.09270025)) / x2)"
19,0.0035943945,"x26 - ((1.0286188 - x26) * ((x2 - ((x26 * 0.61267585) + (1.0369939 - x19))) * (0.11342471 / x2)))"
21,0.0028204785,"x26 - ((1.0010705 - x26) * (((((x21 * x26) - 1.1687539) * x19) + (0.92181504 - x2)) * (-0.14215806 / x2)))"
23,0.0026530619,"(x26 - (((((x26 * x21) - 1.1352417) * x19) + (((0.80614674 - x2) / x2) * (0.98274255 - x26))) * -0.16291074)) - -0.024685653"
25,0.0025532634,"(x26 - ((-0.17732371 * ((0.9293584 - x26) * ((((x19 * (x21 + 1.2133257)) * (x3 - x2)) - x2) + 0.7668125))) / x2)) - -0.04401434"
27,0.0025341557,"(x26 - ((-0.17627639 * (0.9466674 - x26)) * (((((x19 * (x21 + 1.2210503)) * (x3 - x2)) - x2) + 0.7645803) / x2))) - (x1 + -0.044331964)"
