Complexity,Loss,Equation
1,0.14176671,"x26"
3,0.119418755,"x26 * 0.7328552"
5,0.10194839,"(x25 + x26) * 0.3993741"
7,0.049765024,"(x2 * (x25 + -0.75039726)) + 0.8406372"
9,0.042079847,"((x25 + -1.0337484) * (x2 * 0.78915346)) + 0.8852671"
11,0.023968395,"(((x19 * -0.37281898) + (x25 + -0.9053559)) * x2) + 0.9378833"
13,0.015801694,"(x2 * (((x19 + x8) * -0.39605224) + (x25 + -0.9337639))) + 0.9789879"
15,0.014077716,"((x2 * -0.6697638) * (x8 - (x25 + ((x12 * -0.35939956) - 1.4702749)))) - -1.0220413"
19,0.011696559,"((((x8 - (((x12 + x19) - x14) / -2.1644464)) - (x25 - 1.2334937)) * -0.796686) * x2) - -1.0305895"
21,0.011001365,"((((x8 - ((x12 - ((x19 - x14) * -0.6721405)) / -2.1834211)) - (x25 - 1.375472)) * x2) * -0.73801345) - -1.0525538"
23,0.010937961,"(((x8 - ((x12 - (((x19 - x14) / -1.115924) * 0.8161981)) / -2.1535006)) - (x25 - 1.3384156)) * (x2 * -0.7519173)) - -1.0449404"
25,0.010660569,"(((x8 - ((x12 - ((x20 / 9.051514) + ((x19 - x14) / -1.2780912))) / -2.0824063)) - (x25 - 1.3209933)) * (-0.750042 * x2)) - -1.0342879"
27,0.010061864,"((((x8 - ((x12 - ((x19 + ((x8 * -0.7615312) - x14)) * -0.86619246)) / -2.145387)) - (x25 - 1.166556)) * (x2 * -0.7909352)) - -0.95393217) * 1.0608346"
29,0.009991508,"((((x2 * ((x8 - ((x12 - (((x19 + (x8 * -0.7383955)) - x14) * -0.8655079)) / -2.2448208)) - (x25 - 1.1816139))) * -0.7829491) - -0.96168435) + x4) * 1.0618856"
