Complexity,Loss,Equation
1,0.016727682,"x26"
3,0.01656598,"x26 + 0.012687728"
5,0.014903826,"x26 - (x18 * 0.087175794)"
7,0.006043079,"x26 - (-5.968885e-6 / (x26 - -5.968392e-6))"
9,0.005977392,"(0.97820866 * x26) - (-8.87395e-5 / (x26 - -8.87395e-5))"
11,0.004304706,"x26 - ((-8.87395e-5 / (x26 - -8.9270994e-5)) - (x17 * -0.08589628))"
13,0.004100083,"(x26 * 1.0211084) - ((-0.00010208463 / (x26 - -0.00010208463)) - (x19 * -0.103328735))"
15,0.0040140785,"((x26 * 1.0211084) - ((-0.00010208463 / (x26 - -0.00010208463)) - (x19 * -0.103328735))) * 1.0123658"
17,0.0039436882,"x26 + ((x18 * -0.09347473) - (0.016936373 - (-0.009022904 / ((0.103574865 - x2) - (x18 - x26)))))"
19,0.0036157349,"(x26 + (-0.09347473 * (x8 + x18))) - (0.016936373 - (-0.009022904 / (0.103574865 - (x2 - (x26 - x18)))))"
21,0.0031764044,"(x26 + (-0.09347473 * ((x8 + x20) * x2))) - (0.016936373 - (-0.009022904 / (0.103574865 - (x2 - (x26 - x18)))))"
23,0.0030444504,"((x26 + (x23 * -0.25672975)) - (0.053014454 - (-0.049235187 / ((0.055565894 - x2) - ((x26 * (0.6055627 - x23)) * -0.66519773))))) / 0.8133444"
27,0.0030434437,"((x26 - (0.052319627 - (-0.047203258 / (0.07024166 - (x2 - ((((x23 + x23) * x26) - x26) * -0.24208485)))))) * 0.92937684) + ((x23 - x26) * -0.3170722)"
29,0.0029346563,"((x23 - x26) * -0.32439387) + ((x26 - (0.06778617 - (-0.059171397 / (0.059286196 - (x2 - ((x26 * -0.31145948) * ((x23 + (x23 * x26)) - x26))))))) * 0.9499992)"
