Complexity,Loss,Equation
1,0.027253287,"x26"
3,0.026963351,"x26 + 0.017026842"
5,0.02452261,"(0.016426776 / x2) + x26"
7,0.019839682,"x26 + (0.04158465 / (x2 + x8))"
9,0.0073909103,"x26 + (-0.11244651 / ((x26 * 1388.0327) - x2))"
11,0.0071908273,"(x26 - 0.13826889) + (0.12207489 / ((x26 + x8) + x2))"
13,0.006041724,"(x26 + ((0.12232814 / ((x26 + x8) + x2)) - 0.13360122)) * 1.0586507"
15,0.0048198323,"(x26 + (-0.13157392 / (((x26 + x16) * -0.48765096) - (x2 + x8)))) - 0.15553924"
17,0.0046819043,"(((-0.12827724 / (((x26 + x16) * -0.5221924) - (x2 + x8))) - 0.15352906) + x26) / 0.9749731"
19,0.00399784,"((((2.5727088 / (x17 + 5.6043606)) + x26) - 0.60501087) / 0.9018784) + (0.13127974 / ((x8 + x26) + x2))"
21,0.0039700274,"((0.120269336 / (x8 + (x26 + x2))) + (((1.2781085 / (x15 + (x17 + 5.895733))) + x26) - 0.36879107)) / 0.90565085"
23,0.0033962312,"(((0.12463583 / (x26 + (x2 + x8))) + ((1.37584 / ((x19 + (0.27309555 / x2)) + 3.6002755)) + x26)) - 0.4924393) / 0.8332536"
27,0.0033403798,"(((x26 - 0.33334038) + (0.9621248 / (((x19 + (0.41579887 / x2)) + (x8 + x16)) + 4.5824585))) / 0.8747371) + (0.14118418 / (x26 + (x8 + x2)))"
29,0.0033275797,"(0.14645632 / ((x8 + x26) + x2)) + (((((0.8856734 / (((0.6380854 / x2) + 4.0702305) + ((x19 + x17) + x8))) + x26) - 0.3354676) / 0.8621958) - x0)"
