Complexity,Loss,Equation
1,0.04143075,"x26"
3,0.039605714,"x26 / 1.0997674"
5,0.037209027,"(0.028505845 / x2) + x26"
7,0.022950243,"(0.084638566 / x2) + (x2 * x26)"
9,0.019533854,"x26 + (((x26 - 0.86772776) * -0.08551376) / x2)"
11,0.009973651,"((0.12621239 + (-0.1324509 / x2)) * (x26 - 0.94851726)) + x26"
13,0.009179918,"x26 + ((0.12935896 + (-0.1326163 / x2)) * (x26 - (1.084452 - x2)))"
15,0.0073686154,"(x26 + (-0.1332464 * x17)) + ((x26 - 1.0205295) * (0.15695569 + (-0.1332464 / x2)))"
17,0.0069796536,"(((x26 + -0.12281638) / 0.8790126) + (-0.13325006 / (x2 / (x26 - 0.995112)))) + (x17 * -0.11644125)"
19,0.006979643,"((x17 * -0.116398565) + (x26 / 0.87882334)) + ((0.33991003 / (x2 * (-2.5496619 / (x26 - 0.9947059)))) + -0.13973223)"
21,0.0066795545,"(x26 - (-0.27614072 - ((x8 + x2) * -0.3402637))) + (-0.31329653 / (x2 * ((2.502854 / (x26 - 0.8237681)) + -0.27963865)))"
23,0.0054636076,"0.24016878 + ((x26 + (-0.41736552 / ((x2 * 3.720049) / (x26 - 0.8456322)))) - (((x16 * -0.26173684) - (x8 + x2)) * -0.3174913))"
25,0.005193868,"(-0.46298563 / (((x2 / (x26 - 0.8632623)) - 0.027701043) * 3.6321034)) + ((x26 + 0.32645625) - (((x16 * -0.19518417) - (x8 + x2)) * -0.40412748))"
27,0.0048294114,"(((x26 + 0.6649457) - (((x16 * -0.18828318) - (x2 + x8)) * -0.68427503)) + (-0.37488654 / ((x2 * 3.1983411) / (x26 - 0.42525354)))) - (x8 * -0.3101438)"
29,0.0046550236,"(x26 - (((((x17 - x26) * -0.39842585) - (x8 + x2)) * -0.26039314) - 0.11570295)) + (-0.33647174 / (((1.5931612 / (x26 - 0.915926)) + -0.18334068) * (x2 - -0.066233896)))"
