Complexity,Loss,Equation
1,0.014822735,"x26"
3,0.014805937,"x26 / 1.0093127"
5,0.013485651,"x26 + (x17 * -0.08199698)"
7,0.012929568,"x26 - ((x17 + x8) / 13.219148)"
9,0.0058248793,"x26 - (-0.0072524194 / ((x8 + -0.10476244) + x2))"
11,0.0053649456,"x26 - (-0.0072524194 / (-0.10476244 + (x2 + (x8 / 0.23145452))))"
13,0.0046993545,"(x26 + ((x26 - 1.3537929) * (-0.09231674 / (x2 + x8)))) - 0.1287059"
15,0.0036932225,"x26 - ((x15 + (((x26 - 1.0224928) / (x2 + x8)) + x2)) * 0.107245594)"
17,0.0026194092,"(x26 - ((x2 + (x17 + ((x26 - 0.9279211) / (x2 + x8)))) * 0.116826914)) * 1.0957917"
19,0.0023199394,"(x26 + (((x2 + x17) + ((x26 - 0.9396795) / ((x8 + x2) + x8))) * -0.11661768)) * 1.0772697"
21,0.0022735067,"((((x26 - 0.8191054) / ((x8 + x8) + x2)) + (x2 + x18)) * -0.14147893) + ((x26 + 0.020587692) / 0.9013965)"
23,0.0022735053,"(((((x26 - 0.8185984) / (x2 + (x8 + x8))) + (x2 + x18)) * -0.14155951) + ((x26 + -0.14833646) * 1.1095475)) - -0.18751986"
25,0.0020698393,"x26 - (((x2 + (((((x17 / -1.1327392) + x2) * x8) + ((x26 - 1.0762352) * 0.8332349)) / x2)) + (x8 + x17)) * 0.13190961)"
27,0.0018350927,"x26 - ((((x17 + x8) + -0.2891194) + ((x2 + ((((x26 - 1.0293187) + ((x8 * x17) * -1.3658661)) / x2) * 0.6544243)) + x8)) * 0.16130221)"
29,0.001766222,"(x26 - ((((x26 + (((x8 * x17) * -1.174672) - 0.9916423)) * (0.71798015 / x2)) + (((x2 + x8) + (x8 + x17)) + -0.26818842)) * 0.15179591)) / 0.969384"
