Complexity,Loss,Equation
1,0.012706404,"x26"
3,0.0126214065,"x26 + 0.009195783"
5,0.011270704,"(x18 * -0.080164865) + x26"
7,0.0075029912,"(0.0009817459 / (x2 - 0.1109004)) + x26"
9,0.0045399177,"x26 + (0.0013668074 / ((x2 - x8) - 0.11103588))"
11,0.0045393733,"(x26 + (0.0013668074 / ((x2 - x8) - 0.11103588))) - -0.00033991755"
13,0.0032074447,"(0.0018894997 / ((x8 + x2) - 0.11052068)) + (x26 - (x18 * 0.08206029))"
15,0.0027905784,"((0.0018894774 / ((x8 + x2) - 0.11052014)) + x26) - ((x8 + x20) * 0.0673355)"
17,0.0026559324,"(0.0018894774 / (x8 + (x2 - 0.11052014))) + ((x26 * 1.0502622) - ((x20 + x8) * 0.11052068))"
19,0.0020153185,"x26 + ((x26 - 1.022543) * ((-0.11813006 - ((x2 - ((x20 * -0.74188566) - x8)) * -0.11248749)) / x2))"
21,0.0020133168,"(((1.0128142 - x26) * (0.1313823 - ((x2 - ((x20 * -0.6950427) - x8)) * 0.12428106))) / (x2 * 1.0826716)) + x26"
23,0.0017443777,"((x26 - 0.9840933) * ((-0.09733408 - ((x2 - ((x20 * -0.9443564) - x8)) * -0.09482887)) * ((x26 - -1.2808709) / x2))) + x26"
25,0.0015268484,"(((x26 * 0.27507898) - -0.3089508) * ((((x2 - ((x19 * -1.7229332) - x8)) * 0.3639822) + (-0.36735225 / x2)) * (x26 - 1.0029812))) + x26"
27,0.0014457931,"x26 + (((x26 - 0.998239) * ((x26 * 0.23017153) - -0.33117452)) * (((x2 - ((x19 * -0.9866486) - (x8 * 1.7590096))) * 0.36651394) + (-0.37522626 / x2)))"
29,0.0012318067,"x26 + (((x26 - 1.0133106) * (((x26 * 0.24850698) - -0.3049899) * (((x2 - (((x19 * -0.9606174) - x8) * 1.7453492)) * 0.33092317) + (-0.37636986 / x2)))) + -0.014546243)"
