Complexity,Loss,Equation
1,0.015427063,"x26"
3,0.015414717,"x26 - 0.0035131946"
5,0.013874489,"x26 - (x17 * 0.08411675)"
7,0.013293013,"x26 + ((x8 + x17) * -0.08064125)"
9,0.0121472,"x26 - (((x17 + x2) + -0.88686705) * 0.1387444)"
11,0.010836642,"(x26 - (((x8 + x2) + -1.0365206) * 0.42796972)) * 0.83528274"
13,0.0107686315,"(x26 - (((x2 - (x8 * -0.8895554)) + -1.0279367) * 0.4640332)) * 0.8279405"
15,0.010182921,"(x26 - ((x2 + (-0.99690425 - (x8 / -1.6379466))) + (x12 * 0.17851944))) * 0.69985986"
17,0.00881773,"(x26 - ((((x2 - (x13 * -0.26718572)) + (x8 * x2)) + -0.9903559) * 0.5414789)) * 0.78619224"
19,0.007926515,"(x26 - ((((((x2 - x8) * 0.2706946) * x12) + x2) + -0.98197794) - (x8 / -1.2904844))) * 0.69511265"
21,0.0075781234,"(x26 - ((((((x2 / 1.5292251) - x8) * (x12 * 0.4466241)) + x2) + -0.98069334) - (x8 / -1.1644125))) * 0.6895644"
23,0.007572641,"(x26 - (((x2 + -0.9811663) + (((x13 + x12) * 0.24335441) * ((x2 / 1.6626779) - x8))) - (x8 / -1.1364384))) * 0.6881379"
25,0.0067888694,"(((0.65902585 - x2) * -0.20695242) + 0.7071353) * (x26 - (x2 + (-1.0207776 + ((((x13 * -0.3475244) * (1.0007077 - x8)) - x8) / -1.384857))))"
27,0.005639056,"((-0.20695242 * (0.65902585 - x2)) + 0.7071353) * (x26 - ((x2 + -1.0207776) + ((((x9 + (x2 - x8)) * (-0.3475244 * x13)) - x8) / -1.384857)))"
