Complexity,Loss,Equation
1,0.017179124,"x26"
3,0.016947344,"x26 + 0.0152265895"
5,0.015590764,"x26 - (x17 * 0.08281141)"
7,0.0069083236,"x26 + (1.6498402e-6 / (1.671158e-6 - x8))"
9,0.0068587754,"((8.118253e-6 / (8.118253e-6 - x8)) + x26) * 0.98351175"
11,0.005349476,"((-3.15239e-7 / (-3.196884e-7 + x8)) + x26) - (x17 * 0.08461012)"
13,0.0050507346,"((-8.2575425e-6 / (x8 - 8.376979e-6)) - ((x18 + x8) * 0.06573413)) + x26"
15,0.0048494395,"((8.886803e-6 / (x8 + 9.423112e-6)) + (x26 - (x2 * (x19 * 0.10720165)))) * 1.0449443"
17,0.003956638,"x26 + ((-1.8494164e-7 / (x8 + -1.8734951e-7)) - ((x8 - (x19 * (x8 - x2))) * 0.12797536))"
19,0.0037269527,"((9.287272e-6 / (9.423097e-6 - x8)) + x26) - (((x8 + x20) * -0.1351339) * ((x24 * x19) + -1.054516))"
21,0.0036183314,"x26 + ((9.280779e-6 / (9.423089e-6 - x8)) - (((x20 + x8) * (((0.22496124 + x25) * x19) + -1.1700562)) * -0.1351339))"
23,0.003614274,"(9.280779e-6 / (9.423089e-6 - x8)) + ((x26 - (((x19 * (x24 + 0.22145844)) + -1.1913067) * ((x20 + x8) * -0.1351339))) / 0.9934712)"
25,0.003606541,"(8.827946e-6 / (8.946555e-6 - x8)) + ((1.0392045 * x26) - ((((x19 * x25) + -1.1700562) * 0.085964665) * (-0.03139041 - (x22 + (x19 + x8)))))"
27,0.0034798132,"(8.816866e-6 / (8.946562e-6 - x8)) + ((x26 * 1.0392045) - (((x12 * 0.23099682) - (x8 + (x19 + x22))) * (((x19 * x25) + -1.1700562) * 0.08947197)))"
29,0.0034767864,"(8.816866e-6 / (8.946562e-6 - x8)) + ((x26 * 1.0392045) - (((x12 * 0.24094252) - (((x8 + x19) + x22) + 8.946557e-6)) * (((x19 * x25) + -1.1700562) * 0.08947197)))"
