Complexity,Loss,Equation
1,0.018789146,"x26"
3,0.018581187,"x26 + 0.014439198"
5,0.017083965,"(0.015642716 / x2) + x26"
7,0.0126974145,"x26 - (-0.0010979183 / (x2 + -0.10968864))"
9,0.0064338804,"x26 - (0.0014677086 / ((x8 + x2) + -0.11397873))"
11,0.005746983,"(x26 - (-0.11908464 / ((x26 + x2) + x8))) + -0.1254357"
13,0.005227568,"(x26 + ((0.11975853 / ((x2 + x26) + x8)) - 0.124858655)) * 1.0483545"
15,0.004888117,"((x26 + -0.2331684) - (-0.2510497 / (x2 + ((x26 + x8) - -0.11095147)))) / 0.9130129"
17,0.0041192663,"(x26 + (-0.13816024 - ((x25 - x17) * -0.08943066))) - (-0.12543628 / ((x2 + x26) + x8))"
19,0.003773108,"((x26 + -0.13526113) - ((x25 - x19) * (x2 * -0.1541887))) - (-0.12456019 / ((x26 + x8) + x2))"
21,0.003638351,"(((x26 + -0.13526113) - (((x25 - x19) * x2) * -0.1541887)) - (-0.12456019 / ((x26 + x8) + x2))) * 1.0332254"
23,0.0030088976,"((-0.31481925 - ((x25 - x17) * (x2 * -0.117760465))) + (x26 - (-0.35762265 / (((x2 + x8) + x26) - -0.18053468)))) / 0.9151057"
25,0.0028317184,"(x26 + ((-0.34635577 - ((x25 - x17) * (x2 * -0.14920534))) - (-0.39290145 / ((x8 * x2) + ((x26 - -0.20180038) + x2))))) / 0.9271492"
27,0.0028274104,"(((x26 + (-0.36432618 - ((x25 - x17) * (x2 * -0.15298922)))) - (-0.4193173 / (((x2 * x8) + x2) + (x26 - -0.21816598)))) * 0.6901483) / 0.6381432"
29,0.0027654965,"((((x26 + -0.43229768) - ((x2 * (x2 * (x25 - x17))) * -0.15430573)) - (-0.5285653 / ((x8 * x2) + ((x26 + x2) - -0.28932974)))) / 0.57603157) * 0.63696086"
