Complexity,Loss,Equation
1,0.018242443,"x26"
3,0.018072223,"x26 * 0.9753003"
5,0.016648794,"x26 - (x17 * 0.07775622)"
7,0.009601421,"x26 - (-0.00058962865 / (x2 + -0.11168211))"
9,0.006664105,"x26 - (-0.00089335366 / (x2 + (-0.11150042 - x8)))"
11,0.006470169,"(x26 - (-0.0008933545 / ((x2 + -0.11150042) - x8))) / 1.0237428"
13,0.0061345147,"((x26 + -1.0345522) * (((-0.012678689 / x2) / x2) + 0.98087144)) + 0.9923306"
15,0.004741258,"(((((1.2938218 / x2) - x17) + -1.5197675) * (x26 + -1.0035689)) * -0.09706542) + x26"
17,0.003934856,"(((x26 + -1.0026281) * ((((0.20944561 / x2) + -0.5059729) - x19) * -0.08462188)) / x2) + x26"
19,0.0030385314,"((x8 * -0.16612418) + x26) + ((((1.2930771 / x2) - x21) + -1.4249831) * ((x26 + -1.0414802) * -0.09644144))"
21,0.0026927579,"(((1.1241055 / x2) + (-1.2487469 - x21)) * ((x26 + -1.0087371) * -0.11494376)) + (((x2 * x8) * -0.23885834) + x26)"
25,0.0026925677,"(x26 + (x8 * (x2 * -0.23943709))) + (((x26 + -1.0087731) * -0.11566769) * (((0.48061925 / x2) + (-1.2401365 - x21)) + (0.6348969 / x2)))"
27,0.0025117216,"((x26 + (((((x26 + x2) * -0.60860085) + 0.6023881) * 0.1774841) / x2)) + 0.14227335) + ((((x2 + x17) * -0.14333878) + (x8 * -0.3142178)) * x2)"
29,0.0023409745,"(x26 + ((((x26 + x2) * -0.6904804) + 0.5136996) * (0.16382164 / x2))) + (((((x17 + 1.1175377) * -0.14786735) + ((x8 * -0.35318178) + -0.20392141)) * x2) + 0.3976819)"
