Complexity,Loss,Equation
1,0.028439442,"x26"
3,0.02809888,"x26 * 0.97063625"
5,0.025800906,"x26 + (x12 * -0.080370314)"
7,0.02430018,"(x26 - (x8 / 5.3422866)) + 0.049553312"
9,0.022458658,"(x26 + 0.062031064) - ((x8 * x8) / 3.1196547)"
11,0.022378277,"((x26 + 0.062031064) - ((x8 * x8) / 3.1196547)) * 0.9947366"
13,0.010100585,"((x26 * -1.612463) / ((x26 / 0.6402003) - -0.0019301001)) - (-1.0393528 - x26)"
15,0.0088086175,"((x11 - (0.020060252 / ((x26 / 0.00016236753) - -0.025997095))) * -1.2965205) - (x1 - x26)"
17,0.00846931,"(((x24 - 0.020060252) / ((x26 / 0.00016236753) - -0.025997095)) * -1.2965205) - ((x1 - x26) * 0.96806383)"
19,0.008458689,"((((x24 - x12) - 0.020060252) / ((x26 / 0.00016236753) - -0.025997095)) * -1.2965205) - ((x1 - x26) * 0.96806383)"
