Complexity,Loss,Equation
1,0.013562498,"x26"
3,0.013434801,"x26 * 0.9764894"
5,0.011820111,"x26 - (x18 * 0.08918596)"
7,0.009596638,"x26 - (-0.00034406024 / (x2 + -0.111534156))"
9,0.006898804,"x26 - (-0.0032675937 / (x8 + (x2 + -0.10862124)))"
11,0.0065255673,"(x26 + -0.09695523) - (-0.10996412 / (x2 + (x8 / x2)))"
13,0.005699776,"x26 - ((x19 + (-0.11412916 / (x8 + (x2 * x2)))) * 0.09571779)"
15,0.00529072,"x26 - ((((-0.11412916 / ((x2 * x2) + x8)) + x18) * 0.09571779) + 0.020810463)"
17,0.0041084783,"x26 + (-0.109324396 - ((x19 + -0.74461544) * (0.08074435 / ((x2 * 0.5412755) + (x8 / x2)))))"
19,0.003003822,"x26 - ((0.1105381 - (x26 * 0.10896465)) * (x19 + ((-0.53457755 / ((x8 + 0.46823967) * x2)) - -1.1746825)))"
21,0.0028898977,"x26 - (((-0.37405628 / ((x8 + 0.39579976) * x2)) + (x19 - (x2 * -0.98730993))) * (0.12353413 - (x26 * 0.12199202)))"
23,0.0026142814,"x26 + (((x26 * (0.017277759 / x2)) - 0.14474912) * ((-0.31365108 / (x2 * (x8 + 0.3859126))) + (x19 - (x2 * -0.8614232))))"
