Complexity,Loss,Equation
1,0.029770892,"x26"
3,0.02924785,"x26 + 0.022869874"
5,0.026759697,"x26 + (0.017361822 / x2)"
7,0.009965328,"x26 + (6.8626236e-5 / (6.8626236e-5 - x8))"
9,0.009652625,"(9.033813e-5 / (x26 + 9.033813e-5)) + (x26 / 1.0375079)"
11,0.007869795,"(x18 * -0.073067024) + (x26 + (0.00010527986 / (x26 + 0.00010529489)))"
13,0.007698486,"(x26 + (0.07640289 * (-0.14475533 - x18))) + (8.2924955e-5 / (x26 + 8.24389e-5))"
15,0.006109454,"x26 + (((0.12711741 / x2) + (0.16702749 / (x19 + -1.2937547))) * (1.0037253 - x26))"
17,0.0060969763,"x26 + ((((0.12630638 / x2) + (0.18915442 / (x19 + -1.335239))) + 0.011890328) * (1.0054761 - x26))"
19,0.006067956,"x26 + ((((0.14886265 / (x19 + -1.3814211)) - 0.018124625) + (0.12577161 / x2)) * ((x2 + 0.87859386) - x26))"
21,0.005929806,"x26 + (((x2 + 0.8775693) - x26) * (((0.17576386 / (x19 + -1.4082601)) + (0.12773916 / x2)) - (x19 * -0.014083021)))"
23,0.0054076994,"((((0.12920052 / x2) + (0.16595647 / (x19 + -1.271203))) - ((x26 * x14) * (x26 * -0.048993055))) * (0.99972194 - x26)) + x26"
25,0.0051834355,"((((0.18082501 / (-1.4199413 + x19)) - (x26 * (x14 * (-0.039866228 * x26)))) + (0.12678482 / x2)) * ((x2 - x26) + 0.87857425)) + x26"
27,0.005133502,"((((0.12765525 / x2) + ((0.17347263 / (x19 + -1.3928853)) - ((x26 * x14) * (x26 * -0.03939038)))) * (x2 + (0.85420406 - x26))) + x26) * 1.019914"
29,0.0051335,"(((0.18033087 / (x19 + -1.3928713)) + ((0.13269557 / x2) - ((x14 * (x26 * x26)) * -0.0409545))) * ((x2 + (0.8543659 - x26)) / 1.0194327)) + (x26 * 1.0198417)"
