Complexity,Loss,Equation
1,0.07164911,"x26"
3,0.06587442,"x26 + 0.0760737"
5,0.040771462,"x26 + (0.046485983 / x2)"
7,0.037169296,"(x26 + (0.05966819 / x2)) / 1.1247437"
9,0.025519382,"(0.092378296 / x2) - (0.17721602 - (x26 / 1.3484789))"
11,0.025141627,"(x2 * -1.0025496) + ((x24 / 2.0037532) - (x8 + -1.0922962))"
13,0.021364251,"((x8 * (x24 - -0.10399686)) - (x8 + -1.1491172)) + (x2 * -1.169244)"
15,0.017235475,"((x24 / (2.2248046 - x17)) - x8) + ((x0 + (x2 + -1.0300066)) * -1.0042126)"
17,0.014043157,"(((x2 + -1.0162855) * -1.0701312) + (x24 / (((x10 - x16) - x8) - -2.9060025))) - x8"
19,0.013774934,"((((x3 + x2) + -1.0189719) * -1.054374) + (x24 / (((x10 - x15) - x8) - -2.8419762))) - x8"
