Complexity,Loss,Equation
1,0.017606597,"x26"
3,0.017428508,"x26 + 0.013341412"
5,0.015829235,"x26 - (x17 * 0.0832349)"
7,0.012700421,"x26 + (0.0017409448 / (x2 - 0.11035398))"
9,0.011073441,"x26 + (-0.0034697158 / ((x2 / -0.3167527) - -0.35118368))"
11,0.006949231,"(-0.01242548 / ((x2 * x2) / (x26 + -1.0045207))) + x26"
13,0.006513616,"x26 + (-0.01254812 / (x2 / (((-1.0203626 + x26) / x2) + x16)))"
15,0.00531219,"(((-0.012089829 / (x2 / (x26 + -1.0243485))) / x2) + (x17 * -0.08025929)) + x26"
17,0.0044818115,"(x26 + ((x8 + x19) * -0.08248348)) + ((-0.011843641 / (x2 / (x26 + -1.0630472))) / x2)"
19,0.0039562113,"((x2 * ((x19 + x8) * -0.11157955)) + x26) + ((-0.012169875 / (x2 / (x26 + -1.0197864))) / x2)"
21,0.003327793,"(-0.012419157 / (x2 / ((x26 + -1.0546889) / x2))) + ((x2 * (((x8 + x19) * -0.12261966) - 0.025764931)) + x26)"
23,0.0030015723,"(-0.12648062 / (x2 / ((x26 + -1.0070096) + x2))) + ((x2 * (((x8 + x20) * -0.16966133) - 0.009560396)) + (x26 * 1.1560726))"
25,0.0029307234,"((-0.013300985 / (x2 / ((x26 + -0.86714196) / x2))) - -0.09960132) + ((x26 + (x2 * (((x20 + x8) * -0.15284893) - 0.114145))) * 1.0387206)"
