Complexity,Loss,Equation
1,0.014098645,"x26"
3,0.013992529,"x26 / 1.022983"
5,0.01211609,"x26 - (x19 * 0.094960794)"
7,0.011397894,"x26 - (-0.0017896229 / (x2 + -0.107798934))"
9,0.008444465,"x26 - (-0.010431546 / (x8 + (x2 * x2)))"
11,0.0076502785,"x26 - (-0.0022969595 / (x8 + (x2 * (x2 * 0.19924186))))"
13,0.007433252,"x26 - ((-0.0023724018 / (x8 + ((x2 * 0.19796635) * x2))) + 0.015137702)"
15,0.006838052,"x26 - (((-0.019709634 / ((x2 + x2) + x26)) / x2) - (x19 * -0.102391616))"
17,0.0042250156,"((((x8 * -0.57622397) + ((x12 * -0.21266966) + (x26 * 0.6945349))) * x2) - x2) + 1.0305958"
19,0.0039005398,"(((x8 * -0.61373043) + (((x12 - -0.36153087) * -0.22746912) + (x26 * 0.6696786))) * x2) + (1.1084901 - x2)"
21,0.003612602,"(1.0170302 + (((x2 * (((-1.5689332 * x8) + x26) + (x12 * -0.3594994))) * 0.6597632) - x2)) + (x8 * 0.38199574)"
23,0.0031905333,"(((((x8 * -0.64582556) + (x12 * -0.20435788)) + (x26 * 0.7137197)) * x2) + (((x21 * x26) * 0.1271895) - x2)) + 1.0170999"
25,0.0027713953,"((x8 * x22) * (x25 * 0.32580617)) + (((((x8 * -0.724836) + ((x26 * 0.69557977) + (x12 * -0.22019883))) * x2) - x2) + 1.0193186)"
27,0.0025636388,"((x23 - -0.37884143) * ((x8 * 0.2981027) * x25)) + (((x2 * ((x12 * -0.22750562) + ((x26 * 0.67321604) + (x8 * -0.69819415)))) + 1.0167308) - x2)"
29,0.0023746525,"((((x8 * -0.6886526) + ((x12 * -0.23623477) + (x26 * 0.666523))) * x2) + (x25 * (((x8 * x23) - -0.24180499) * (x8 * 0.49621555)))) + (1.0157666 - x2)"
