Complexity,Loss,Equation
1,0.029656803,"x26"
3,0.0292885,"x26 * 0.9699655"
5,0.026681853,"x26 - (x8 * 0.14825863)"
7,0.024821905,"x26 + ((x8 * -0.22574623) * x12)"
9,0.02361428,"(((x12 * -0.3105703) * x8) * x8) + x26"
11,0.021353027,"(0.82571965 * x26) + (((0.01843583 / x2) / 0.35171148) + -0.115942)"
13,0.011090797,"((-0.050668374 / (x2 + ((x26 + -0.31434032) * 0.45080733))) / 1.7339075) + x26"
15,0.010250471,"(((-0.050967857 / (((x26 + -0.31524044) * 0.4492341) + x2)) / 1.7631807) + x26) + 0.029117448"
17,0.009326571,"(((-0.050668374 / (x2 + ((x26 + -0.31434032) * 0.45080733))) / 1.7339075) + x26) - (x12 * 0.028080132)"
19,0.008968974,"(((-0.050668374 / (x2 + ((x26 + -0.31434032) * 0.45080733))) / 1.7339075) + (0.02927741 + x26)) - (x12 * 0.028080132)"
