Complexity,Loss,Equation
1,0.062873065,"x26"
3,0.05930809,"x26 + 0.059814107"
5,0.04096505,"(0.040081024 / x2) + x26"
7,0.037081607,"(x26 + (0.054019347 / x2)) / 1.1315172"
9,0.025468782,"x26 + (((0.33206984 - x8) * 0.1966617) / x2)"
11,0.018537177,"((0.12758106 - (x25 * 0.09123064)) / x2) + (x25 - 0.16142774)"
13,0.017188724,"((0.11514636 - ((0.12658419 - x25) * -0.10665265)) / x2) + (x25 - 0.15760371)"
15,0.008122819,"(x26 + ((0.12679762 - ((x12 - (x26 / -0.4475503)) * 0.045370158)) / x2)) + -0.15542606"
17,0.007992588,"((x26 + ((0.12679762 - ((x12 - (x26 / -0.4475503)) * 0.045370158)) / x2)) + -0.15542606) / 0.9600681"
19,0.00796981,"(((x26 + ((0.12679762 - ((x12 - (x26 / -0.4475503)) * 0.045370158)) / x2)) + -0.15542606) / 0.9600681) / 1.0313405"
