Complexity,Loss,Equation
1,0.10327021,"x26"
3,0.09859458,"x26 * 0.8688617"
5,0.0674744,"x26 + (0.0614734 / x2)"
7,0.033330683,"0.88943076 + (x2 * (x26 + -0.80593234))"
9,0.013604675,"((x26 + (x2 + -2.1115074)) * x2) - -1.1260017"
11,0.010290621,"(x2 * (x26 + ((-3.4171324 + x2) + x2))) - -1.3626158"
13,0.008018034,"(((x16 * 0.104080625) + x2) * (x26 + (x2 + -2.1800158))) - -1.1757799"
15,0.0068327226,"((x2 * ((x22 * -0.2556443) + ((x26 + x2) + -2.017249))) - -1.0008798) * 1.2133702"
17,0.004631686,"(((x2 + x26) + (((x8 * -0.2889734) + -2.2267957) - (x20 * 0.20499192))) * x2) - -1.2221632"
19,0.004312601,"(x2 * ((x2 + (x26 + (x8 * (x8 * -0.4683)))) + (-2.2133486 - (x20 * 0.17701834)))) - -1.2207737"
23,0.0036662892,"(((x8 * -0.4754044) + ((x2 + -1.2273054) - (x26 * (((x24 + x12) * -0.21070658) + -0.9079583)))) * x2) + (1.2066814 - x2)"
25,0.0036426017,"((((((-1.2960052 - (x26 * (((x26 + x12) * -0.24978201) + -0.98250365))) + (x8 * -0.5452566)) + x2) * x2) - x2) * 0.92638904) + 1.1823909"
27,0.003064138,"((x2 * (((x2 + (x8 * -0.42652094)) + -1.234673) - ((x26 * (((x26 + x12) * -0.16222972) + -0.95256644)) + (x19 * 0.0913862)))) - x2) + 1.214239"
29,0.0028177383,"(((x2 * ((x8 * -0.8471583) + (((-1.2536145 - ((((x12 + x26) * -0.3186087) + -1.4469651) * x26)) + (x19 * -0.16393001)) + x2))) + 1.800912) * 0.64256555) - x2"
