Complexity,Loss,Equation
1,0.3037195,"0.062619425"
3,0.12775637,"x26 * x2"
5,0.107555866,"(x26 * x2) - -0.14212796"
7,0.04815236,"(x2 * x26) + (0.088353604 / x2)"
9,0.044082414,"(x26 * (x2 + -0.0705138)) - (-0.101507 / x2)"
11,0.035413858,"x26 - ((((1.0848535 - x26) * -0.11973537) / x2) + 0.14701883)"
13,0.026538596,"x26 - (0.16474703 + (-0.12017796 * (((1.1369332 - x26) / x2) - x16)))"
15,0.024736976,"(x26 - ((((1.1542823 - x26) / x2) * -0.11917345) + (x12 * 0.14729682))) + -0.1603536"
17,0.020497307,"x26 - ((((x17 + x12) * 0.106360756) + ((1.1927269 - x26) * (-0.1199855 / x2))) + 0.17104846)"
19,0.017785415,"x26 - (((x12 + ((1.1911774 - x26) * (((-0.7054431 / x2) + x17) - x13))) * 0.16322757) - -0.16718219)"
21,0.016306486,"(x26 - ((x12 + ((((x17 + x8) + (-0.79081845 / x2)) - x13) * (1.1707294 - x26))) * 0.15312105)) - 0.15259798"
23,0.015993882,"((x26 - ((((1.1187503 - x26) * (x8 + ((x17 + (-0.79614717 / x2)) - x13))) + x12) * 0.15233858)) - 0.14331222) * 1.0466394"
25,0.0154913375,"(x26 - (((((1.1222728 - x26) * ((-0.7615439 / x2) + (x17 - x13))) + x12) * 0.15217206) - (-0.14058387 - (x8 * 0.12441704)))) / 0.9193492"
27,0.015491327,"((x26 - (((((((-0.76168174 / x2) + x17) - x13) * (1.1216197 - x26)) + x12) * 0.15214434) - -0.14048766)) - ((x8 * 0.12409006) + x11)) * 1.0880902"
