Complexity,Loss,Equation
1,0.031832736,"x26"
3,0.031230802,"x26 + 0.024535695"
5,0.028830986,"x26 + (x13 * -0.089695305)"
7,0.027271122,"x26 + ((x8 * -0.19832265) + 0.05681093)"
9,0.026268525,"x26 + (((x8 * -0.3184621) * x8) + 0.06502526)"
11,0.025992164,"((x26 * 0.972073) + ((x8 * -0.31945235) * x8)) - -0.062070582"
13,0.024798654,"(x26 * 0.78253525) + ((((x8 + -1.1758487) + x2) * 1.4871706) / -7.8769274)"
15,0.017360667,"(x26 * 0.78253525) + ((((x8 + -1.1758487) + x2) * (x13 - -2.7724)) / -7.8769274)"
17,0.016383331,"(x26 * 0.78253525) + ((((x8 + -1.1758487) + x2) * ((x26 / -0.9416122) - -2.7724)) / -7.8769274)"
19,0.015275258,"(x26 * 0.78253525) + ((((x8 + -1.1758487) + x2) * (((x26 + -0.28695822) / -0.9416122) - -2.7724)) / -7.8769274)"
