Complexity,Loss,Equation
1,0.045290615,"x26"
3,0.043879766,"x26 + 0.03756187"
5,0.037574068,"x26 - (-0.023884716 / x2)"
7,0.029470442,"(x26 * x2) - (-0.10163876 / x2)"
9,0.017431213,"(((x2 - 0.061139487) * x26) - -0.062282313) / x2"
11,0.00986867,"((x26 * (x2 - 0.10519909)) - -0.015660502) / (x2 - 0.08996735)"
13,0.009526973,"(((x26 + -0.018483702) * (x2 - 0.104478)) - -0.018483702) / (-0.08645443 + x2)"
15,0.0072182273,"(-0.0840498 / (1.1592189 - x8)) + ((((x2 - 0.07531944) * x26) - -0.088891394) / x2)"
17,0.0065920856,"(((x26 * (x2 - 0.078775965)) - -0.08191139) / x2) + ((-0.068959065 / (1.0398884 - x8)) * x2)"
19,0.006395949,"(((((x2 - 0.07995461) * x26) - -0.07283471) / x2) + ((x2 / (1.1316901 - x8)) * -0.13611214)) + 0.084287636"
21,0.006353103,"((((x2 * -0.21727924) / (1.2237756 - x8)) + ((((x2 - 0.078988746) * x26) - -0.06860152) / x2)) * 0.9708112) + 0.1442525"
23,0.0063487184,"((x2 * (-0.23321629 / (1.2451082 - x8))) + 0.16077696) + ((((((x2 - 0.07846809) * x26) * 1.0075295) - -0.06786283) / x2) * 0.9550586)"
25,0.0063242614,"((((x26 * ((x2 - 0.078520164) * 1.0428553)) - -0.088438675) / x2) - (0.15270068 / ((1.294088 + (x21 * (0.31477386 * x26))) - x8))) + 0.048281956"
27,0.0062892144,"(0.12137184 - (0.31133905 / ((((x21 * x26) * ((x17 * 0.19812298) + 0.3394875)) + 1.563049) - x8))) + ((((x2 - 0.076408975) * x26) - -0.08901341) / x2)"
29,0.006260527,"(((((x2 - 0.0777687) * (x26 * 1.0182528)) - -0.08899808) / x2) - (0.30417165 / ((((x26 * ((x17 * 0.16954944) + 0.35703403)) * x21) + 1.5643482) - x8))) + 0.11969747"
