Complexity,Loss,Equation
1,0.027484244,"x26"
3,0.02703308,"x26 + 0.021230193"
5,0.024591178,"x26 + (0.016907291 / x2)"
7,0.0074045435,"(-0.00021372276 / (x8 + -0.00021372276)) + x26"
9,0.0073836963,"(-0.00021372276 / ((x24 + -0.00021372276) + x26)) + x26"
11,0.005795887,"x26 + ((-0.07766747 * x16) + (-0.00012674507 / (-0.00012674474 + x26)))"
13,0.005568265,"(x26 + ((x16 * -0.07766747) + (-0.00012674507 / (-0.00012674474 + x26)))) / 0.9663843"
15,0.005447208,"(x26 + -0.09904145) - ((x26 + -1.1498348) * ((x8 + -0.81779087) * (-0.13067636 / x2)))"
17,0.0053519723,"(-0.14211687 - ((((x17 + -1.2339426) * -0.10345233) / x2) * (x26 + -0.9839567))) + (x26 * 1.16411)"
19,0.0034916895,"((x26 + -0.12701713) - ((x26 + -0.99724066) * (((x19 - 0.91946685) * -0.12386353) / (x8 + x2)))) * 1.1460456"
21,0.0034916846,"((x26 - ((((x26 + -0.9973967) * (-0.91820633 - (x6 - x19))) * -0.123966485) / (x8 + x2))) * 1.1460351) + -0.14555171"
23,0.0034704641,"((x26 - (((x26 + -0.9906498) * ((-0.92696375 - ((x16 - x17) - x19)) * -0.12305497)) / (x2 + x8))) + -0.12689245) * 1.1529272"
27,0.0031386972,"(x26 - (((((x26 + -0.9984062) * -0.09812047) * (-1.1607406 - ((x15 * (x26 * x26)) + (x19 * -1.6295872)))) / (x8 + x2)) + 0.13093318)) * 1.1464578"
