Complexity,Loss,Equation
1,0.024466405,"x26"
3,0.024256384,"x26 * 0.9686795"
5,0.02297637,"x26 + (x8 * -0.15316051)"
7,0.022272162,"x26 - ((x19 + x8) * 0.06758086)"
9,0.02201376,"x26 + ((x8 * -0.1313541) - (x19 * 0.06758086))"
11,0.022001898,"((x26 + (x8 * -0.13638899)) - (x19 * 0.06605765)) + 0.003695903"
13,0.021370051,"(x26 + (x8 * -0.2045137)) - ((0.053248648 - (x26 * 0.09957018)) * x19)"
15,0.021355454,"(-0.0042888327 - (x19 * (0.054280832 - (x26 * 0.10406905)))) + (x26 + (x8 * -0.20187187))"
17,0.021350821,"((0.0429104 - x19) * (0.050460186 - (x26 * 0.106413886))) + (x26 + ((x8 * -0.20645912) - 0.006400391))"
19,0.02131965,"((((x6 - x17) - x8) * (0.11136101 - (x25 * (x26 * 0.13004023)))) + (x8 * -0.07037475)) + x26"
