Complexity,Loss,Equation
1,0.0137212705,"x26"
3,0.013633786,"x26 * 0.97953826"
5,0.0117813,"(x18 * -0.09472069) + x26"
7,0.01130948,"((x8 + x19) * -0.08673884) + x26"
9,0.009922832,"x26 + (((x19 + x2) * -0.15845764) - -0.14668931)"
11,0.008612613,"(((x26 + x2) - 1.1193745) / (x2 * -11.406408)) + x26"
13,0.0075371573,"(((x8 + x2) + (x26 - 1.2832466)) / (x2 * -12.547006)) + x26"
15,0.0067536947,"((x26 + ((x2 + x8) - 1.1602618)) / ((x2 + x8) * -9.743024)) + x26"
17,0.0051325406,"x26 + ((x19 + (x2 - 0.9697569)) / (((x8 * (-4.2165823 / x2)) - x2) * 7.8712754))"
19,0.0044446825,"x26 + (((x19 + x8) + (x2 - 0.90315497)) / (((x8 * (-2.0056849 / x2)) - x2) * 7.1538515))"
21,0.0039836606,"((((x19 + x8) - 0.91466945) + x2) / ((x8 / (x2 * (x2 * -0.33743206))) - (x2 * 7.2624354))) + x26"
23,0.0036437223,"(((x2 + (x19 + x8)) - 0.9201181) / (((x8 * -3.2225394) / (x2 * x2)) - ((x2 * 6.6750207) - x15))) + x26"
25,0.0035266436,"x26 + ((x8 + (x2 + (x19 - 0.94231945))) / (((2.5559578 - x2) * 3.338267) * (((x8 * -0.46813196) / (x2 * x2)) - x2)))"
27,0.0033032433,"((x8 + ((x19 + x2) - 0.9631486)) / (((2.5193572 - x2) * ((((x8 / (x2 * x2)) * -0.5153583) - x2) * 3.265382)) + x16)) + x26"
29,0.003220578,"(((x8 + x2) + (x19 - 0.9617181)) / (((2.51787 - x2) * ((((x8 / (x2 * x2)) * (x16 + -1.416927)) - x2) * 3.2592251)) + x16)) + x26"
