Complexity,Loss,Equation
1,0.018124457,"x26"
3,0.018000241,"x26 / 1.024316"
5,0.016668059,"(x17 * -0.0783027) + x26"
7,0.01615949,"(-0.0843358 * (x8 + x17)) + x26"
9,0.013090658,"(((0.9661193 - x26) / x2) * 0.049967863) + x26"
11,0.006814473,"((0.98538214 - x26) * (0.01875815 / (x2 + -0.094179824))) + x26"
13,0.0063660922,"x26 + (0.09492303 * ((((1.2222733 - x26) / x2) + -1.422033) - x13))"
15,0.0043759206,"(((((0.9674688 - x26) / x2) + (-0.9999226 - x18)) * 0.111704975) + x26) / 0.8403636"
17,0.0037850928,"((((((1.0431333 - x26) / x2) + -1.0274128) - (x8 + x18)) * 0.10597687) + x26) * 1.1425263"
19,0.0031777213,"(((x26 + ((1.0239382 - x26) / x2)) + (-1.0888909 - ((x18 + x8) * x2))) * 0.12721518) + x26"
21,0.0030376276,"x26 + (((x26 + (((1.0232869 - x26) / x2) + -1.0946348)) - ((x8 + (x8 + x19)) * x2)) * 0.12976864)"
23,0.0029011327,"((((x26 + -1.0628314) + ((1.0217919 - x26) / x2)) - (x2 * (x7 + ((x8 * 1.613168) + x19)))) * 0.12882967) + x26"
25,0.0029004002,"x26 + (((((x26 + x5) + ((1.0235549 - x26) / x2)) + -1.0657384) - (x2 * (((x7 + x8) * 1.6426661) + x19))) * 0.1284799)"
