Complexity,Loss,Equation
1,0.026038235,"x26"
3,0.02552553,"x26 + 0.022647774"
5,0.023183113,"x26 - (-0.017194599 / x2)"
7,0.018271122,"x26 + (0.0432052 / (x2 + x8))"
9,0.0074899094,"x26 - (-0.00839722 / ((x2 + -0.10401858) + x8))"
11,0.0058481763,"(x26 + -0.1337294) - (-0.12455324 / ((x8 + x26) + x2))"
13,0.004862787,"(x26 + -0.12222534) - (-0.12327064 / (x26 + ((x2 + x8) + x8)))"
15,0.004550754,"(x26 + -0.11832038) - (-0.1674168 / (((x8 - (x2 / -1.9055424)) / 0.3972175) + x26))"
17,0.0032345674,"x26 + (-0.14638259 - (-0.07592369 / (((x26 - ((x2 / -0.54459167) - x17)) / 3.163281) + x8)))"
19,0.003222739,"(x26 + -0.14826787) - (-0.11928438 / (x8 + (((x8 + x26) - ((x2 / -0.5538509) - x17)) / 1.9822726)))"
21,0.0031307382,"(x26 - (-0.24233888 / (x8 - ((x2 / -0.7511812) + (-0.053672884 - (x8 + ((x26 + x17) / 1.4661493))))))) + -0.19206506"
23,0.0030050653,"(x26 * 1.0286725) + (-0.18836777 - (-0.22940584 / (x8 - (((x2 / -0.7518289) + -0.043759998) - (((x17 + x26) / 1.3244472) + x8)))))"
25,0.003001307,"((x26 * 1.0309075) + -0.19244635) - (-0.23877752 / (x8 - ((x2 / -0.7430514) + (-0.04922552 - ((((x26 * 1.0399297) + x17) / 1.3357227) + x8)))))"
29,0.0030006475,"((x26 * 1.0308013) + -0.1918291) - (-0.23980018 / ((x11 + x8) - ((((x2 / -0.7389816) + x0) + -0.048980344) - (x8 + ((x17 + (x26 * 1.0483154)) / 1.3409492)))))"
