Complexity,Loss,Equation
1,0.027535401,"x26"
3,0.027116371,"x26 - -0.020469656"
5,0.024887696,"(0.01622142 / x2) + x26"
7,0.018968025,"x26 + (0.002041126 / (x2 - 0.107964225))"
9,0.0077175368,"x26 + (0.10930119 / (x2 - (x26 / 0.0057337084)))"
11,0.0065043564,"((0.12159386 / ((x2 + x26) + x8)) + x26) + -0.13633423"
13,0.0056298245,"((x26 + (0.122168824 / ((x26 + x8) + x2))) + -0.13236158) / 0.9518039"
15,0.0049113226,"(0.26832592 / ((((x8 + x2) * 2.0418618) + x26) + x16)) + (x26 + -0.15342824)"
17,0.003936295,"((x26 * 1.0732725) - 0.16943623) + (0.33227566 / ((x12 - -2.4609876) * (x26 + (x2 + x8))))"
19,0.0036216064,"((x26 - 0.15313107) + (0.25613755 / (((x8 + x2) + x26) * (x8 + (x15 - -2.075504))))) * 1.0732716"
21,0.003345872,"(((0.2580324 / ((((x26 + 1.3438646) * x16) - -2.033284) * ((x2 + x8) + x26))) + x26) * 1.1008972) - 0.17830251"
23,0.0032297897,"(0.21438366 / ((((x16 * (x26 + 1.1839142)) + -0.48997718) - -2.100488) * ((x2 + x8) + x26))) + ((x26 * 1.0820285) - 0.17256512)"
25,0.00303327,"((0.23198615 / (((x2 + x26) + x8) * (((x8 + x16) * ((x8 + x26) + x2)) + 1.7435744))) + (x26 * 1.0742273)) - 0.16660802"
27,0.0029875906,"(0.22900093 / (((((x17 + x8) + -0.06473107) * (x8 + (x26 + x2))) - -1.7207955) * ((x8 + x2) + x26))) + ((x26 * 1.0813252) - 0.17276011)"
