Complexity,Loss,Equation
1,0.028013075,"x26"
3,0.027682366,"x26 + 0.018128436"
5,0.02499803,"x26 - (-0.017349929 / x2)"
7,0.017701598,"(0.0010880183 / (-0.109871686 + x2)) + x26"
9,0.00795484,"x26 - (-0.112381615 / (x2 + (x8 / -0.002034756)))"
11,0.0074688056,"(x26 - 0.13980092) + (0.12240732 / (x2 + (x8 + x26)))"
13,0.0062600086,"((x26 + (0.12269239 / (x2 + (x8 + x26)))) - 0.13436253) * 1.0602213"
15,0.005411161,"x26 + ((0.156876 / (x19 + ((x2 + (x8 / x2)) * 1.2481647))) - 0.1384564)"
17,0.004228777,"((x26 + ((0.11841222 / ((x26 + x8) + x2)) - 0.14098585)) * 1.104963) + (x17 * -0.09021761)"
21,0.0036167412,"((0.13051343 / (x2 + (((1.8057227 * x8) + x17) / x2))) + (x26 - ((x25 * x26) * -0.13826683))) - 0.18752772"
23,0.0032710668,"((x26 * ((x26 * 0.13107902) - -1.0410408)) + (0.13476995 / ((((x8 / (x2 * 0.5669694)) + x19) / x2) + x2))) - 0.17776039"
25,0.0032686528,"(0.13447921 / (((((x8 * 2.2513971) / (x2 * 1.2486391)) + x19) / x2) + x2)) + ((x26 * (1.0396222 - (x26 * -0.1331996))) - 0.17793506)"
