Complexity,Loss,Equation
1,0.025358079,"x26"
3,0.025027078,"x26 - -0.018191436"
5,0.022575784,"(0.01933047 / x2) + x26"
7,0.021224791,"(0.10946992 / x2) + (x26 * x2)"
9,0.00595732,"x26 + (0.5705269 / ((-4902.7773 * x8) + 0.5705945))"
11,0.0059146797,"((0.5001382 / ((x8 * -4902.7773) + 0.49471653)) + x26) * 0.98904926"
13,0.0041180756,"((-0.07100678 * x17) + x26) + (0.53118646 / (0.531287 + (x8 * -4902.7773)))"
15,0.0034799823,"(((x19 * -0.10771419) + x26) / 0.93335354) + (0.7641399 / ((x8 * -5438.4795) + 0.76430357))"
17,0.0032547452,"(x19 * -0.12416549) + ((x26 / 0.9321803) + ((0.7782471 / ((x8 * -5438.4795) + 0.7661309)) + -0.015896095))"
19,0.0031476729,"((-0.8059266 / (-0.8048809 - (x8 * -11111.452))) + (x26 / 0.94831353)) + ((x8 * -0.05503394) + (x19 * -0.0998195))"
21,0.0030155056,"(0.24799487 / ((10665.964 * ((x18 + -0.8475401) * x8)) + 0.24489814)) + ((-0.012260588 + ((x19 * -0.12211659) + x26)) / 0.9185321)"
23,0.0028682172,"((((x19 * -0.122115955) + -0.012264643) + x26) / 0.91853744) + (0.24799599 / ((x15 + 0.2448977) + ((x18 + -0.8475414) * (x8 * 10665.964))))"
25,0.0028266779,"((0.18718946 / ((x2 / 0.613837) + ((((x2 / 0.61848617) + (x19 * -1.5950544)) * x8) / -0.0017428069))) + (x19 * -0.13207062)) + (x26 / 0.9223393)"
27,0.002652174,"((x26 / 0.9223393) + (0.18718946 / ((x8 * (((x19 * -1.5950544) + (x2 / 0.61848617)) / -0.0017428069)) + (x2 / 0.613837)))) + (-0.1332924 * (x19 - -0.106765725))"
29,0.0026504786,"((0.18718946 / ((x2 / 0.60692114) + ((((x2 / 0.61848617) + (x19 * -1.5950544)) * x8) / -0.0017428069))) + (((x19 * -0.1332924) + -0.015294661) * 0.9908337)) + (x26 / 0.9223393)"
