Complexity,Loss,Equation
1,0.02738428,"x26"
3,0.02701776,"x26 + 0.019144624"
5,0.024479669,"x26 - (-0.017003037 / x2)"
7,0.019989569,"x26 - (-0.0031903852 / (x2 - 0.10621859))"
9,0.007273991,"x26 + (x2 / ((x26 * -12718.85) + x2))"
11,0.0072283335,"(x2 / ((x26 * -12718.85) + x2)) + (x26 / 1.011247)"
13,0.0056973184,"((x17 * -0.0649025) + x26) + (x2 / ((x26 * -17809.637) + x2))"
15,0.0049646087,"(x2 / ((x26 * -12718.85) + x2)) + ((-0.06591535 * (x18 + x8)) + x26)"
17,0.0043926956,"(x26 + (x2 / ((x8 * 19682.623) + x2))) + (x2 * ((x8 + x19) * -0.09368523))"
19,0.0036846767,"((x2 / (x2 + (x8 * 21751.428))) + (x2 * (-0.030649396 + ((x19 + x8) * -0.120785825)))) + x26"
21,0.003407996,"(x2 / ((x8 * 22390.676) + x2)) + (((x2 + -0.24006185) * (((x19 + x8) * -0.1831339) + -0.051931553)) + x26)"
23,0.0031772414,"(x2 / (x2 + (x8 * 13279.294))) + ((x2 * (((x8 + x19) * -0.16725634) + ((x2 * -0.23321706) + 0.2202431))) + x26)"
25,0.003171053,"-0.01186287 + ((x26 + (((0.26736078 + (-0.26590285 * x2)) + ((x19 + x8) * -0.16985357)) * x2)) + (x2 / (x2 + (x8 * 17133.049))))"
27,0.0030414048,"x26 + (((x2 * (x22 + x2)) * ((x2 * (((x19 + x8) * -0.20359734) + -0.20454055)) + 0.17731659)) + (x2 / (x2 + (x8 * 14895.513))))"
29,0.0029302589,"((x26 + (x2 / (x2 - (x8 * -39230.47)))) + ((((((x19 + x8) * -0.21142708) + -0.28408632) * x2) + 0.26760647) * ((x2 * x21) + x2))) / 1.0217712"
