Complexity,Loss,Equation
1,0.027140632,"x26"
3,0.026602428,"x26 - -0.023196442"
5,0.024031164,"(0.017720569 / x2) + x26"
7,0.022700474,"(x26 * 0.9337433) + (0.023169598 / x2)"
9,0.0074183536,"x26 + (0.112436645 / (x2 - (x26 * -224.08078)))"
11,0.007316023,"(x26 + (0.11439201 / (x2 - (x26 * -224.08078)))) / 1.0169368"
13,0.005510766,"((0.35570228 / ((x26 * 607.80115) + 0.3557712)) + x26) - (x18 * 0.074201435)"
15,0.0050753825,"(x26 * 1.049523) + ((0.2326636 / ((x26 * 533.17395) + 0.2327305)) - (x19 * 0.10399556))"
17,0.0041783177,"(0.11277327 / (x2 + (348.82733 * x26))) + (x26 + ((x19 + x8) * (x2 * -0.10422644)))"
19,0.003812139,"(0.11277327 / (x2 + (348.82733 * x26))) + (x26 + ((-0.1795545 - (x19 + x8)) * (x2 * 0.118747555)))"
21,0.0035847232,"((0.4692291 / ((x26 * 1294.0598) + 0.4808275)) + (x26 - (((x19 + (x8 - -0.471058)) * x2) * 0.13145612))) - -0.039927863"
23,0.0033819724,"(0.46632093 / ((x26 * 1294.0598) + 0.48216024)) + ((x26 - ((x2 * (((x8 - -0.37787083) * x2) + x19)) * 0.1550163)) - -0.033399213)"
25,0.003351332,"(0.46477875 / ((x26 * 1294.0598) + 0.48530117)) + (((x26 - ((((x2 * (x8 - -0.44566336)) + x19) * 0.15874565) * x2)) - -0.04365677) * 0.98745406)"
27,0.00333767,"((x26 + ((0.47117335 / ((x26 * 1294.0598) + 0.4815338)) - -0.034594942)) - (((x2 * 0.17921026) - 0.018770428) * (x19 + ((x8 - -0.4003028) * x2)))) * 0.98695356"
29,0.0032426727,"(0.044942353 - ((x26 - (((x2 * (x20 + x2)) * (((x8 - -0.40104997) * x2) + x19)) * 0.14099164)) * -0.9928614)) + (0.5437976 / ((x26 * 1971.3983) + 0.56855637))"
