Complexity,Loss,Equation
1,0.026866868,"x26"
3,0.026611755,"x26 - -0.015954623"
5,0.024118898,"x26 - (-0.016739 / x2)"
7,0.016463645,"x26 - (-0.001581624 / (x2 + -0.10983343))"
9,0.007577387,"x26 - (-0.0015816252 / ((x2 - x8) + -0.11081854))"
11,0.007214157,"(x26 - (-0.123378314 / (x2 + (x8 + x26)))) - 0.13711041"
13,0.00616495,"((x26 - (-0.12297209 / ((x26 + x8) + x2))) * 1.0574377) - 0.1399879"
15,0.0056023444,"1.1157029 + ((((x26 + -1.8223841) * (x8 + 2.2067528)) - x12) * (x2 / 3.5747724))"
17,0.0048837485,"(x2 * ((((x8 + 1.8937618) * (x26 + -1.7214606)) + (x13 * -0.70095986)) / 3.031686)) + 1.0937562"
19,0.0042465148,"(((x26 + -1.3757483) * (((((x16 - x2) * 0.29223922) + 2.5216103) * x2) + x8)) / 2.969797) - -1.0835183"
23,0.004246513,"(((x26 + -1.3754295) / 2.9698162) * ((x2 * (((x16 - x2) * 0.292288) + 2.521953)) + x8)) - ((x4 + -1.1216019) - -0.038183104)"
