Complexity,Loss,Equation
1,0.018442968,"x26"
3,0.018345246,"x26 + 0.009887144"
5,0.017052662,"x26 - (-0.014483792 / x2)"
7,0.008800193,"(-0.00011141723 / (x26 + -0.00011141723)) + x26"
9,0.007439844,"(0.0051769917 / ((x2 + -0.10764849) + x8)) + x26"
11,0.00668643,"x26 + ((0.12094931 / (x2 + (x8 / x2))) + -0.1093105)"
13,0.0063454085,"((0.12004116 / (x2 + ((x8 + x8) / x2))) + -0.10366417) + x26"
15,0.0054073893,"(x26 + (((1.1580787 - x18) / (x2 + (x8 / x2))) * 0.103436016)) + -0.11864219"
17,0.005092279,"(0.13045487 / ((x19 * (x2 + -0.35030448)) + ((x8 / x2) + x2))) + (x26 + -0.13972446)"
19,0.0049134227,"x26 + (-0.13011824 + (0.123963125 / ((x19 * ((x14 * 0.55637634) + x2)) + ((x8 / x2) + x2))))"
21,0.0047639757,"(0.1241062 / ((x2 + (x8 / x2)) + (x18 * (((x16 + 1.3870529) * x14) + x2)))) + (x26 + -0.13072298)"
23,0.004647289,"((0.12471895 / (((x8 / (x2 + -0.03876073)) + x2) + (x18 * (x2 + (x14 * (x16 + 1.397435)))))) + -0.12648776) + x26"
25,0.004481935,"((0.13072038 / ((x2 + ((x19 * (((x19 * (x16 * -0.30933717)) + -0.10910613) + x2)) / x2)) + (x8 / x2))) + -0.14073989) + x26"
27,0.004481934,"(-0.14073963 - x7) + ((0.13072023 / ((x2 + ((x19 * ((x2 + -0.109105974) + ((x16 * x19) * -0.30933788))) / x2)) + (x8 / x2))) + x26)"
